time,FX,FY,FZ,RX,RY,RZ,
922.105,0.557437,0.581537,-0.864098,0.00873472,-0.0112411,-0.159111,
922.108,0.704221,0.55911,-0.713814,0.00856984,-0.00669391,-0.159963,
922.116,0.881977,0.456173,-0.608002,0.0107821,-0.00701474,-0.1634,
922.123,0.399282,0.443498,-0.772276,0.0120524,-0.0156885,-0.161775,
922.126,0.399282,0.443498,-0.772276,0.0120524,-0.0156885,-0.161775,
922.132,0.681122,0.592735,-0.764096,0.00900369,-0.00908639,-0.159768,
922.135,0.484613,0.588421,-0.747104,0.00688562,-0.0115001,-0.159639,
922.143,0.407039,0.544758,-0.688812,0.00466236,-0.0172887,-0.160179,
922.15,0.735669,0.585888,-0.815579,0.00961672,-0.00931948,-0.160649,
922.153,0.717111,0.470276,-0.836582,0.0108729,-0.00852089,-0.160877,
922.161,0.820899,0.511046,-0.718644,0.0101646,-0.00415182,-0.161838,
922.164,0.820899,0.511046,-0.718644,0.0101646,-0.00415182,-0.161838,
922.169,0.642218,0.634291,-0.778566,0.00615316,-0.0133676,-0.157143,
922.174,0.48866,0.504749,-0.762735,0.00974062,-0.0134448,-0.161493,
922.177,0.674454,0.646528,-0.767863,0.00771755,-0.00657382,-0.157966,
922.182,0.443286,0.450269,-0.8108,0.0128911,-0.0163648,-0.163016,
922.186,0.633138,0.629474,-0.814118,0.00528986,-0.0119355,-0.15892,
922.189,0.502229,0.49783,-0.908567,0.00863442,-0.0124901,-0.160536,
922.196,0.459063,0.660049,-0.88335,0.00692854,-0.0122842,-0.157796,
922.204,0.868105,0.578351,-0.883695,0.00713475,-0.00394035,-0.160739,
922.207,0.802036,0.57912,-0.877347,0.00910807,-0.00928296,-0.159336,
922.214,0.802036,0.57912,-0.877347,0.00910807,-0.00928296,-0.159336,
922.217,0.876525,0.488703,-0.827713,0.00956819,-0.00592628,-0.161751,
922.224,0.876525,0.488703,-0.827713,0.00956819,-0.00592628,-0.161751,
922.232,0.769079,0.588444,-0.765127,0.00669686,-0.00821958,-0.158986,
922.235,0.769079,0.588444,-0.765127,0.00669686,-0.00821958,-0.158986,
922.243,0.549966,0.53379,-0.711057,0.00884864,-0.015007,-0.158896,
922.25,1.05315,0.549135,-0.766651,0.0101584,-0.000243354,-0.160329,
922.254,0.796056,0.491354,-0.771679,0.0104703,-0.00762824,-0.160675,
922.26,0.496883,0.421939,-0.802453,0.0122914,-0.0113454,-0.163169,
922.263,0.849167,0.598866,-0.94864,0.00865526,-0.00923959,-0.158661,
922.271,0.904713,0.595971,-0.93342,0.00670972,-0.00399816,-0.160288,
922.278,0.651487,0.44047,-0.731847,0.0120269,-0.00900363,-0.162171,
922.281,0.59432,0.564365,-0.750301,0.0112956,-0.0134193,-0.158659,
922.289,0.39648,0.503018,-0.878004,0.0110937,-0.0140893,-0.160643,
922.292,0.681296,0.576122,-0.701716,0.00567308,-0.00902738,-0.160441,
922.298,0.681296,0.576122,-0.701716,0.00567308,-0.00902738,-0.160441,
