time,x,y,z,r,p,y,
922.105,-0.329184,0.0430934,0.0155064,-0.000101322,-3.14158,3.11559e-05,
922.108,-0.329195,0.0430846,0.0155005,2.8081e-06,-3.14159,2.74466e-05,
922.116,-0.329187,0.0430775,0.0155008,7.13128e-07,-3.14158,3.42615e-05,
922.123,-0.329175,0.0430859,0.0155035,9.44353e-05,-3.14159,-1.30611e-06,
922.126,-0.329175,0.0430859,0.0155035,9.44353e-05,-3.14159,-1.30611e-06,
922.132,-0.329196,0.043077,0.015498,5.32541e-05,-3.14157,1.03521e-05,
922.135,-0.329185,0.0430786,0.0154959,-7.41831e-05,-3.14159,5.93301e-05,
922.143,-0.329157,0.0430587,0.0155033,-3.67934e-05,3.14155,2.75441e-05,
922.15,-0.32918,0.043078,0.015487,2.84175e-05,3.14156,-4.7284e-05,
922.153,-0.329186,0.043099,0.0155034,-0.000101011,-3.14159,-6.288e-05,
922.161,-0.329195,0.0430956,0.0155128,-4.5837e-05,-3.14156,-1.92248e-05,
922.164,-0.329195,0.0430956,0.0155128,-4.5837e-05,-3.14156,-1.92248e-05,
922.169,-0.329176,0.0430701,0.0154956,-8.53983e-05,3.14157,-2.12467e-05,
922.174,-0.329182,0.0430898,0.0154977,-8.52335e-05,-3.14159,-1.43241e-05,
922.177,-0.329197,0.0430881,0.0155005,5.48489e-05,-3.14155,-1.57385e-05,
922.182,-0.329193,0.0430992,0.0155106,-7.30518e-05,-3.14153,-0.000103987,
922.186,-0.329174,0.0430832,0.0154871,0.000112846,3.14158,-3.92894e-05,
922.189,-0.32917,0.0430956,0.0155044,2.39565e-05,3.14157,3.18007e-05,
922.196,-0.329174,0.0430778,0.0155036,1.59752e-05,-3.14156,1.10551e-05,
922.204,-0.329183,0.0430866,0.0155007,-5.54527e-05,3.14159,2.21111e-05,
922.207,-0.3292,0.0430851,0.0155092,8.73999e-05,-3.14156,1.33854e-05,
922.214,-0.3292,0.0430851,0.0155092,8.73999e-05,-3.14156,1.33854e-05,
922.217,-0.329185,0.0430903,0.015516,1.325e-05,-3.14157,1.09263e-06,
922.224,-0.329185,0.0430903,0.015516,1.325e-05,-3.14157,1.09263e-06,
922.232,-0.329154,0.0430655,0.0154811,-0.000112993,3.1415,-0.000118365,
922.235,-0.329154,0.0430655,0.0154811,-0.000112993,3.1415,-0.000118365,
922.243,-0.329163,0.0431025,0.0154941,4.01894e-05,3.14155,5.10012e-05,
922.25,-0.329201,0.0430936,0.0155106,8.7745e-05,-3.14152,-3.30224e-05,
922.254,-0.329194,0.0431011,0.0154948,3.43083e-05,3.14159,5.26919e-05,
922.26,-0.32919,0.0430904,0.0154986,9.445e-05,-3.14158,-1.26791e-05,
922.263,-0.329188,0.0430797,0.0155102,4.10337e-05,-3.14156,3.20323e-05,
922.271,-0.329185,0.0430853,0.0154986,-8.08871e-06,3.14158,-2.90552e-05,
922.278,-0.329204,0.0430928,0.0155043,0.000120891,-3.14152,-5.23913e-05,
922.281,-0.329184,0.0431059,0.0154956,2.16967e-05,3.14159,-1.33467e-05,
922.289,-0.329207,0.0430946,0.0155026,8.10177e-05,-3.14154,-3.2234e-05,
922.292,-0.329184,0.0430944,0.0154992,-1.02287e-05,-3.14156,-9.94085e-06,
922.298,-0.329184,0.0430944,0.0154992,-1.02287e-05,-3.14156,-9.94085e-06,
922.306,-0.329164,0.0430651,0.0154928,-0.000118274,3.14157,-0.000103417,
922.309,-0.329185,0.0431026,0.015509,-0.000139905,-3.14157,-8.31792e-05,
922.317,-0.329213,0.0431111,0.0155157,8.02647e-05,-3.14149,-5.92195e-05,
922.324,-0.329197,0.0430846,0.0154874,-8.08381e-05,3.14159,-6.9807e-05,
922.327,-0.329197,0.0430846,0.0154874,-8.08381e-05,3.14159,-6.9807e-05,
922.335,-0.329182,0.0430962,0.0154964,-8.09718e-05,3.14157,3.19676e-05,
922.338,-0.329206,0.043099,0.0155016,-2.44704e-05,-3.14152,-2.50273e-05,
922.345,-0.329174,0.0430805,0.0155124,7.35008e-05,-3.14157,-4.38144e-05,
922.352,-0.329176,0.0430877,0.0154962,-6.00493e-05,3.14158,1.37819e-05,
922.355,-0.329191,0.0430742,0.0155024,5.02498e-05,-3.14155,2.76687e-05,
922.363,-0.329175,0.0430973,0.0155049,5.00805e-05,3.14158,6.25736e-05,
922.371,-0.329173,0.0430895,0.0155039,-7.33413e-05,3.14155,5.23084e-05,
922.374,-0.3292,0.0431016,0.0155104,-2.39115e-05,-3.14153,-2.88411e-05,
922.381,-0.3292,0.0431016,0.0155104,-2.39115e-05,-3.14153,-2.88411e-05,
922.385,-0.329187,0.0431055,0.0155052,3.446e-05,-3.14157,-5.40155e-06,
922.391,-0.329184,0.0430986,0.0154925,0.000127309,3.14158,-1.48243e-05,
922.398,-0.329173,0.043083,0.0154966,4.34537e-05,3.14156,-1.62624e-05,
922.401,-0.32918,0.0430939,0.0155002,-8.30677e-05,-3.14158,1.98137e-05,
922.409,-0.329187,0.0431002,0.0154998,4.86523e-05,3.14159,2.67468e-05,
922.412,-0.329148,0.0430701,0.0154952,-4.79095e-05,3.14151,-1.58196e-05,
922.419,-0.329195,0.0430963,0.0154966,3.74679e-06,-3.14158,1.25794e-05,
922.427,-0.329173,0.0430862,0.015497,1.00197e-05,3.14155,-7.51204e-05,
922.476,-0.329182,0.0430847,0.0154928,-2.23788e-05,3.14157,-4.96584e-05,
922.48,-0.329194,0.0430822,0.0155081,4.11596e-05,-3.14156,-1.81774e-05,
922.483,-0.329192,0.0430785,0.015526,7.57828e-05,-3.14148,-4.12875e-05,
922.489,-0.329165,0.0430561,0.0154947,-5.96187e-05,3.14153,-8.39606e-05,
922.493,-0.329191,0.0430647,0.0155034,4.24324e-05,-3.14155,0.000124931,
922.501,-0.329177,0.0430981,0.0155036,4.05614e-05,3.14157,1.15293e-05,
922.504,-0.329188,0.0430769,0.0155027,-3.66018e-06,-3.14158,-1.94348e-05,
922.511,-0.329161,0.0430853,0.0155026,-1.05228e-05,3.14155,3.63753e-05,
922.514,-0.329161,0.0430853,0.0155026,-1.05228e-05,3.14155,3.63753e-05,
922.521,-0.329173,0.0430789,0.0155071,7.35591e-05,-3.14158,-2.57823e-05,
922.529,-0.329179,0.0430842,0.0154994,4.25177e-05,3.14159,3.9226e-05,
922.532,-0.329185,0.0430805,0.0154977,-4.33773e-06,-3.14158,3.00828e-08,
