time,FX,FY,FZ,RX,RY,RZ,
556.384,-4.9229,1.23366,-0.7694,-0.318495,0.255072,-0.28239,
556.387,-4.88491,1.38078,-0.724132,-0.323139,0.250736,-0.279923,
556.393,-4.69548,1.34415,-0.592757,-0.325272,0.254059,-0.278922,
556.397,-4.73462,1.22341,-0.674908,-0.319162,0.254238,-0.278285,
556.405,-4.67808,1.27015,-0.695903,-0.320734,0.256555,-0.281391,
556.412,-4.67212,1.32335,-0.747093,-0.325845,0.255523,-0.277183,
556.415,-4.78322,1.37942,-0.758055,-0.323849,0.254026,-0.277708,
556.422,-4.65053,1.54863,-0.73756,-0.328711,0.253562,-0.280568,
556.429,-4.62675,1.46001,-0.6955,-0.326165,0.260197,-0.280166,
556.432,-4.84732,1.49928,-0.701907,-0.326477,0.251295,-0.280781,
556.439,-4.70066,1.28211,-0.74367,-0.321885,0.25248,-0.279964,
556.447,-4.75479,1.4075,-0.698581,-0.325656,0.256868,-0.277669,
556.45,-4.85805,1.32854,-0.61422,-0.322418,0.25252,-0.279866,
556.457,-4.70132,1.40433,-0.789024,-0.326234,0.253809,-0.280771,
556.46,-4.88129,1.38346,-0.68592,-0.321887,0.250748,-0.278144,
556.465,-4.86101,1.37766,-0.60456,-0.32408,0.250598,-0.277663,
556.473,-4.81489,1.47606,-0.609174,-0.327901,0.252804,-0.27699,
556.476,-4.71863,1.35291,-0.668445,-0.321268,0.25338,-0.278696,
556.482,-4.83552,1.28891,-0.566322,-0.322512,0.248884,-0.283233,
556.485,-4.90354,1.25272,-0.585685,-0.324058,0.250938,-0.281919,
556.493,-4.84225,1.19176,-0.643097,-0.319959,0.251246,-0.279316,
556.5,-4.71071,1.33232,-0.584046,-0.324077,0.257998,-0.279666,
556.503,-4.70674,1.29273,-0.712821,-0.324426,0.25542,-0.284446,
556.511,-4.56645,1.20922,-0.688476,-0.319636,0.25687,-0.27893,
556.518,-4.67509,1.42548,-0.549914,-0.322156,0.255552,-0.279581,
556.521,-4.79163,1.30797,-0.610872,-0.323673,0.252186,-0.277404,
556.529,-4.57891,1.37283,-0.65841,-0.323021,0.256833,-0.279458,
556.532,-4.72544,1.39097,-0.665257,-0.323882,0.257437,-0.280795,
556.54,-4.86974,1.38004,-0.62778,-0.32354,0.249597,-0.276765,
556.547,-4.8828,1.22963,-0.611962,-0.322686,0.254081,-0.277072,
556.55,-4.63032,1.38729,-0.691221,-0.325027,0.259639,-0.281098,
556.558,-4.94457,1.36071,-0.670723,-0.324806,0.250805,-0.277109,
556.565,-4.65634,1.14147,-0.610309,-0.317166,0.254469,-0.279299,
556.568,-4.7994,1.47513,-0.626751,-0.32473,0.25323,-0.278709,
556.575,-4.87488,1.48128,-0.705144,-0.328043,0.250282,-0.283709,
556.583,-4.53019,1.35866,-0.698759,-0.322103,0.255946,-0.280188,
556.586,-4.79185,1.44009,-0.727676,-0.326089,0.254678,-0.279853,
556.593,-4.53332,1.31892,-0.695869,-0.324389,0.260175,-0.281226,
556.597,-4.70739,1.38081,-0.694338,-0.324945,0.255812,-0.279938,
556.601,-4.58629,1.25942,-0.727923,-0.31792,0.257794,-0.280872,
556.607,-4.8391,1.40538,-0.811969,-0.324549,0.252021,-0.278548,
556.61,-4.58951,1.23826,-0.738683,-0.32013,0.257392,-0.28102,
556.616,-4.67816,1.35393,-0.742204,-0.320333,0.254133,-0.279588,
556.625,-4.76676,1.36878,-0.69614,-0.324454,0.253387,-0.282002,
556.628,-4.82083,1.21405,-0.592144,-0.316938,0.252578,-0.27664,
556.635,-4.77946,1.30374,-0.661108,-0.320228,0.253711,-0.278242,
556.638,-4.60779,1.29214,-0.761497,-0.321025,0.255924,-0.280165,
556.646,-4.50076,1.39063,-0.714852,-0.326086,0.259634,-0.277987,
556.651,-4.78776,1.38118,-0.750331,-0.323742,0.249571,-0.282299,
556.654,-4.67997,1.2737,-0.719173,-0.322025,0.25615,-0.27977,
556.661,-4.68448,1.56168,-0.754047,-0.329777,0.253534,-0.283232,
556.669,-4.60176,1.34644,-0.727995,-0.322324,0.257724,-0.280634,
556.672,-4.62744,1.25679,-0.768909,-0.321057,0.255171,-0.280013,
556.679,-4.87736,1.40149,-0.584657,-0.323395,0.250694,-0.28299,
556.682,-4.76621,1.28031,-0.72569,-0.320563,0.254521,-0.281336,
556.69,-4.79631,1.3951,-0.664272,-0.324663,0.254947,-0.278422,
