time,FX,FY,FZ,RX,RY,RZ,
1543.24,-6.37062,3.19219,0.198424,-0.363464,0.183337,-0.123459,
1543.24,-6.257,3.02858,0.184581,-0.36329,0.184028,-0.12732,
1543.25,-6.38551,2.97982,0.351622,-0.358631,0.180897,-0.124796,
1543.25,-6.54184,3.12446,0.215368,-0.361423,0.179342,-0.124051,
1543.26,-6.4936,2.8407,0.310818,-0.35478,0.182017,-0.120942,
1543.26,-6.56077,3.0489,0.177083,-0.359925,0.178137,-0.120311,
1543.27,-6.52006,3.08768,0.230667,-0.359485,0.180128,-0.121188,
1543.28,-6.55767,3.25947,0.27999,-0.365809,0.178494,-0.124663,
1543.28,-6.34727,3.08321,0.179555,-0.355768,0.183678,-0.118182,
1543.28,-6.23671,2.9864,0.261679,-0.355924,0.188463,-0.12251,
1543.29,-6.44432,3.09041,0.24196,-0.361458,0.181933,-0.121374,
1543.3,-6.53712,2.98862,0.238497,-0.357337,0.175568,-0.12363,
1543.3,-6.56119,3.08043,0.200002,-0.35825,0.17868,-0.123546,
1543.31,-6.27538,2.97295,0.292556,-0.356365,0.184842,-0.120569,
1543.31,-6.59726,3.04682,0.29145,-0.359104,0.177126,-0.12022,
1543.36,-6.50591,2.9979,0.29896,-0.357692,0.181304,-0.124131,
1543.37,-6.47395,3.11208,0.276802,-0.360558,0.178993,-0.122433,
1543.37,-6.3879,3.08,0.280789,-0.360961,0.180368,-0.124785,
1543.38,-6.42536,2.95327,0.302722,-0.353196,0.18196,-0.123319,
1543.38,-6.44336,2.99723,0.338238,-0.359554,0.184385,-0.123913,
1543.39,-6.39836,2.92286,0.342999,-0.354203,0.182558,-0.125503,
1543.39,-6.45442,2.9836,0.159393,-0.358348,0.181239,-0.127198,
1543.4,-6.4748,3.12328,0.332687,-0.361521,0.179437,-0.12544,
1543.42,-6.44949,3.10242,0.316278,-0.36033,0.181191,-0.122382,
1543.42,-6.62558,2.9629,0.312045,-0.356044,0.176912,-0.119145,
1543.43,-6.49917,3.11592,0.270542,-0.359644,0.178872,-0.124171,
1543.43,-6.58116,3.17418,0.254687,-0.361082,0.180229,-0.123459,
1543.43,-6.4583,2.88467,0.37236,-0.354574,0.180461,-0.126296,
1543.44,-6.51002,3.15252,0.261352,-0.361871,0.180778,-0.126903,
1543.45,-6.4377,3.02222,0.286432,-0.357726,0.181354,-0.123347,
1543.45,-6.4487,3.07643,0.2826,-0.359596,0.17999,-0.122962,
1543.46,-6.42032,3.01335,0.191045,-0.357878,0.178902,-0.121177,
1543.46,-6.38422,3.25527,0.207088,-0.363782,0.18311,-0.120528,
1543.47,-6.34369,3.20226,0.312923,-0.364999,0.184482,-0.123915,
1543.47,-6.37359,3.17113,0.198189,-0.362866,0.187207,-0.124372,
1543.48,-6.44828,3.18129,0.324934,-0.360201,0.178522,-0.122796,
1543.49,-6.34163,3.05369,0.192313,-0.358045,0.181938,-0.119766,
1543.49,-6.07972,3.10784,0.303522,-0.361067,0.190525,-0.11935,
1543.5,-6.38873,3.10311,0.327413,-0.362052,0.183386,-0.118529,
1543.51,-6.54374,3.06397,0.309567,-0.360039,0.179874,-0.124764,
1543.51,-6.53577,3.06637,0.352374,-0.35944,0.182197,-0.118095,
1543.52,-6.55511,3.16441,0.215333,-0.361219,0.180914,-0.120121,
1543.52,-6.52019,3.17726,0.172272,-0.361305,0.177643,-0.125025,
1543.53,-6.59493,3.05988,0.278538,-0.358373,0.176718,-0.122167,
1543.53,-6.39319,3.26614,0.255136,-0.364739,0.183318,-0.121474,
1543.54,-6.51294,2.85746,0.31354,-0.354701,0.180804,-0.122207,
1543.54,-6.39874,3.10242,0.242371,-0.360045,0.181134,-0.123605,
1543.55,-6.47192,2.9338,0.221613,-0.35342,0.178867,-0.12016,
1543.55,-6.43917,3.01755,0.318365,-0.359208,0.181423,-0.119945,
1543.56,-6.46015,3.10327,0.306953,-0.360141,0.182523,-0.123206,
1543.56,-6.21528,3.07199,0.250167,-0.358766,0.185461,-0.120671,
1543.57,-6.59419,3.17524,0.252197,-0.361839,0.178173,-0.120779,
1543.58,-6.57837,3.00743,0.205394,-0.355979,0.177393,-0.122047,
1543.58,-6.45369,2.92339,0.129002,-0.354325,0.18176,-0.121705,
1543.59,-6.55034,3.08964,0.313153,-0.358678,0.178239,-0.122067,
1543.6,-6.45159,2.97509,0.288651,-0.357178,0.180617,-0.124108,
1543.6,-6.38674,3.01476,0.271792,-0.358153,0.183686,-0.121463,
1543.6,-6.60843,2.98425,0.365516,-0.357193,0.17583,-0.124913,
1543.61,-6.5654,2.93182,0.298949,-0.35656,0.176122,-0.125395,
1543.62,-6.33483,2.95527,0.291028,-0.356921,0.184236,-0.120382,
1543.62,-6.4969,3.0364,0.297846,-0.360001,0.179751,-0.123516,
1543.63,-6.57239,3.07386,0.365196,-0.36211,0.177859,-0.125704,
1543.63,-6.54406,2.96876,0.413051,-0.355963,0.178378,-0.123529,
1543.64,-6.47012,3.13156,0.321572,-0.359356,0.178445,-0.125168,
1543.64,-6.51336,3.03227,0.429637,-0.358533,0.179562,-0.121143,
1543.65,-6.20302,2.99011,0.337556,-0.354354,0.186562,-0.124731,
1543.65,-6.52721,3.08613,0.353491,-0.359909,0.179669,-0.120106,
1543.66,-6.3738,2.95982,0.262163,-0.359119,0.181263,-0.12501,
1543.67,-6.43543,3.16954,0.378338,-0.361606,0.180595,-0.122294,
1543.67,-6.39203,3.03798,0.3079,-0.361033,0.186113,-0.123577,
1543.68,-6.43894,3.09392,0.253758,-0.360365,0.182836,-0.123388,
1543.68,-6.59937,2.93497,0.377299,-0.356626,0.179176,-0.12152,
1543.69,-6.45582,3.11365,0.317051,-0.359891,0.180313,-0.124516,
1543.7,-6.63621,2.93671,0.301666,-0.35702,0.177959,-0.122057,
1543.7,-6.34138,3.00131,0.473797,-0.357539,0.183861,-0.124764,
1543.71,-6.42498,2.94682,0.293648,-0.358037,0.183717,-0.122149,
1543.71,-6.50558,3.04226,0.403589,-0.358812,0.176804,-0.120113,
1543.72,-6.38347,3.17502,0.263823,-0.362604,0.184935,-0.124515,
1543.72,-6.46503,3.18607,0.370357,-0.362636,0.180647,-0.121427,
1543.73,-6.39867,3.09747,0.178258,-0.356916,0.183249,-0.122746,
1543.73,-6.43764,3.02933,0.123842,-0.358982,0.183107,-0.119806,
1543.74,-6.42304,3.0556,0.239986,-0.359942,0.181512,-0.1256,
1543.74,-6.37467,3.00487,0.216007,-0.357843,0.18236,-0.123009,
1543.75,-6.50918,2.89685,0.336842,-0.354421,0.179648,-0.122627,
1543.76,-6.52547,2.9032,0.31109,-0.355089,0.179959,-0.123314,
1543.76,-6.46353,3.07136,0.185368,-0.359948,0.181636,-0.121915,
1543.77,-6.38763,3.06864,0.137744,-0.358805,0.18403,-0.123278,
1543.77,-6.38446,3.10104,0.428397,-0.362436,0.186229,-0.120439,
1543.78,-6.55012,3.09785,0.272596,-0.361239,0.177098,-0.121507,
