time,CH1,CH2,CH3,CH4,CH5,CH6,
1542.78,2533.92,2330.55,2095.51,2193.94,2236.02,2378.11,
1542.79,2533.41,2330.14,2094.91,2193.66,2235.96,2377.18,
1542.8,2532.65,2329.4,2094.53,2192.79,2235.05,2376.6,
1542.8,2531.93,2329.06,2093.77,2192.09,2234.69,2376.19,
1542.81,2531.31,2328.26,2093.11,2192.05,2233.53,2375.66,
1542.81,2531.05,2327.74,2092.99,2191.75,2233.54,2375.2,
1542.82,2530.12,2327.13,2092.84,2191.23,2235.77,2374.33,
1542.82,2530.03,2326.86,2091.87,2190.55,2233.04,2374.51,
1542.83,2530.03,2326.57,2088.61,2148.51,2230.6,2372.59,
1542.83,2527.98,2325.26,2091.15,2189.48,2232.05,2373.3,
1542.84,2528.77,2325.64,2091.21,2189.29,2231.83,2373.35,
1542.84,2528,2324.94,2090.88,2188.99,2231.34,2372.45,
1542.85,2527.64,2324.91,2090.39,2188.85,2231.27,2372.11,
1542.85,2527.49,2324.67,2090.25,2188.54,2230.65,2371.86,
1542.86,2527.04,2324.21,2090.01,2188.19,2230.52,2374.33,
1542.87,2527,2318.53,2081.31,2219.5,2230.77,2372.21,
1542.87,2526.3,2318.23,2084.36,2190.85,2230.82,2372.25,
1542.88,2527.21,2324.89,2090.45,2189.02,2230.94,2373.32,
1542.88,2528.94,2325.68,2091.42,2189.37,2232.17,2372.91,
1542.89,2528.78,2325.68,2091.34,2190.11,2232.56,2373.68,
1542.89,2528.93,2326.15,2091.69,2189.88,2232.35,2373.82,
1542.9,2529.03,2325.91,2091.24,2189.61,2232.11,2373.15,
1542.9,2528.97,2325.92,2091.19,2189.19,2231.89,2419.08,
1542.91,2518.74,2331.74,2086.71,2176.81,2241.39,2365.42,
1542.91,2528.16,2325.58,2091.19,2189.93,2232.02,2373.14,
1542.92,2528.6,2325.48,2091.18,2189.55,2231.76,2373.11,
1542.92,2528.74,2325.9,2091.21,2189.75,2231.76,2373.17,
1542.93,2528.54,2325.52,2090.81,2189.44,2231.97,2373.07,
1542.94,2527.77,2325.59,2090.17,2189.36,2231.01,2372.72,
1542.94,2528.27,2325.34,2090.7,2188.96,2230.88,2372.73,
1542.95,2527.85,2324.96,2090.17,2188.86,2231.15,2372.23,
1542.95,2576.37,2316.05,2098.72,2183.84,2231.14,2362.86,
1542.96,2520.37,2327.62,2089.87,2188.85,2231.23,2372.37,
1542.97,2527.53,2324.55,2090.6,2188.84,2231.23,2372.53,
1542.97,2528.37,2325.52,2090.52,2189.12,2231.6,2372.87,
1542.98,2528.17,2325.28,2090.54,2189.15,2231.44,2372.82,
1542.98,2527.63,2325.14,2090.25,2188.94,2231.02,2372.46,
1542.99,2527.68,2324.92,2090.21,2189.17,2231.05,2372.18,
1542.99,2527.53,2324.66,2090.14,2188.52,2230.76,2372.24,
1543,2529.15,2322.54,2077.95,2186.3,2262.36,2373.25,
1543,2536.46,2324.76,2077.43,2177.86,2240.71,2362.72,
1543.01,2537.08,2337.56,2086.34,2179.16,2240.84,2363.23,
1543.01,2537.35,2319.54,2088.87,2185.86,2228.43,2369.43,
1543.02,2520.75,2334.26,2091.46,2192.33,2235.34,2377.17,
1543.03,2532.86,2329.56,2094.79,2193.65,2236.24,2377.81,
1543.03,2533.47,2331.18,2096.24,2195.05,2237.25,2378.96,
1543.04,2534.56,2331.19,2096.1,2194.9,2237.45,2379.2,
1543.04,2534.47,2328.2,2096.17,2194.39,2237.03,2378.77,
1543.05,2534.58,2330.93,2095.52,2192.45,2234.54,2376.98,
1543.05,2532.89,2329.98,2094.72,2193.76,2236.06,2377.74,
1543.06,2533.62,2330.05,2094.94,2193.6,2235.45,2377.36,
1543.06,2532.71,2329.23,2094,2193.07,2235,2376.95,
1543.07,2532.1,2328.63,2093.75,2192.26,2234.49,2376.26,
1543.07,2531.53,2328.28,2093.42,2191.8,2233.43,2375.67,
1543.08,2530.37,2327.43,2092.82,2191.68,2233.46,2375.34,
1543.08,2530.28,2327.12,2092.55,2191.03,2238.71,2345.38,
1543.09,2518.93,2338.04,2088.07,2177.31,2228.73,2370.96,
1543.1,2527.36,2325.53,2091.01,2189.83,2232.19,2373.92,
1543.1,2529.27,2326.1,2091.91,2190.36,2232.45,2374.11,
1543.11,2529.43,2326.29,2091.45,2189.89,2232.48,2373.93,
1543.12,2528.92,2326.03,2091.27,2189.43,2231.92,2373.21,
1543.12,2528.57,2325.45,2091.12,2189.25,2231.51,2372.74,
1543.13,2528.09,2325.08,2090.66,2188.73,2231.16,2372.47,
1543.13,2527.69,2332.36,2079,2158.94,2231.51,2363.5,
1543.14,2534.48,2316.28,2079.39,2199.88,2241.16,2365.71,
