time,x,y,z,r,p,y,
2794.78,-0.329198,0.043116,0.0155006,-9.15761e-05,-3.14158,1.76587e-05,
2794.79,-0.329189,0.0431168,0.0154967,-7.0309e-05,-3.14158,-4.44303e-06,
2794.79,-0.329185,0.0430836,0.0154722,-5.5174e-06,3.14154,-3.30177e-05,
2794.8,-0.329176,0.0430941,0.0154819,1.52016e-05,3.1415,-5.35106e-05,
2794.8,-0.329206,0.043107,0.0155008,-2.67801e-05,-3.14155,-5.15793e-05,
2794.81,-0.32917,0.0430924,0.0154909,7.87486e-05,3.14154,-5.6651e-05,
2794.82,-0.329194,0.0430863,0.0155105,1.04477e-05,-3.14154,-1.07458e-06,
2794.82,-0.329158,0.0430837,0.0154808,3.54869e-05,3.14149,-0.000116795,
2794.83,-0.329194,0.0431097,0.0155072,-5.42359e-05,-3.14154,-0.000133081,
2794.83,-0.329193,0.0431262,0.0155114,-0.000118091,-3.14155,-0.000133534,
2794.84,-0.329165,0.0431004,0.0154873,0.00012672,3.14153,-7.11307e-05,
2794.85,-0.3292,0.0431081,0.0155044,-2.61168e-05,-3.14154,-1.16399e-05,
2794.85,-0.329185,0.0430927,0.0154987,-2.23771e-05,3.14158,-1.79091e-05,
2794.86,-0.329183,0.0430969,0.015499,-6.05617e-07,-3.14158,-1.36006e-05,
2794.87,-0.329201,0.0431178,0.0155085,-2.84421e-05,-3.14153,-2.37004e-05,
2794.87,-0.329169,0.0430799,0.0154885,-2.19446e-05,3.14158,-5.64931e-05,
2794.88,-0.329201,0.0431014,0.0155075,5.04652e-05,-3.14155,-0.000120636,
2794.88,-0.32916,0.0430866,0.0154841,6.11061e-05,3.14152,2.84746e-05,
2794.89,-0.329198,0.0430966,0.0154897,-6.02491e-05,-3.14154,5.80136e-06,
2794.9,-0.32917,0.043086,0.0154857,4.99288e-07,3.14156,-1.5632e-05,
2794.9,-0.32918,0.0430933,0.0155043,-4.78038e-05,-3.14157,-1.52215e-05,
2794.9,-0.329162,0.0431063,0.0154959,0.000137416,3.1415,-3.42598e-05,
2794.91,-0.329179,0.0430944,0.0154886,-0.000131044,3.14154,-8.29214e-06,
2794.92,-0.329176,0.0430915,0.0154913,-3.76919e-06,3.14157,-4.15494e-05,
2794.92,-0.329196,0.0431054,0.015508,-5.68627e-05,-3.14153,-2.41942e-06,
2794.92,-0.329205,0.0431021,0.0155009,-5.91386e-05,-3.14156,-3.21729e-05,
2794.93,-0.329211,0.0431153,0.0155037,-3.36796e-05,-3.14154,-4.49269e-05,
2794.94,-0.329206,0.0431094,0.015496,-1.20599e-05,-3.14156,3.46534e-05,
2794.94,-0.32923,0.0431046,0.0154951,4.81796e-05,-3.14151,-3.53542e-05,
2794.95,-0.329174,0.0430873,0.0155062,0.000140906,-3.14158,-1.46058e-05,
2794.96,-0.329199,0.0430961,0.0154909,5.80993e-05,-3.14155,-3.04524e-05,
2794.96,-0.329187,0.0430941,0.0154926,-8.83521e-05,-3.14159,4.18574e-05,
2794.97,-0.32916,0.0430769,0.0154838,0.000119028,3.14154,-9.48898e-05,
2794.97,-0.329179,0.0430911,0.0154854,-5.11522e-05,3.14159,-6.17164e-05,
2794.98,-0.329198,0.0430936,0.0154969,-1.35164e-05,-3.14158,1.23569e-05,
2794.99,-0.329213,0.0431134,0.0155133,5.91606e-06,-3.14154,-7.98492e-05,
2794.99,-0.329213,0.0431052,0.0155113,4.43248e-05,-3.14151,-7.10995e-05,
2795,-0.329205,0.0431164,0.0154984,-2.83793e-05,-3.14155,-5.36819e-06,
2795,-0.329198,0.0431065,0.0155107,-3.3758e-05,-3.14154,-2.15979e-05,
2795,-0.329189,0.0430952,0.0154986,-6.07056e-05,-3.14159,8.44533e-06,
2795.01,-0.329207,0.043105,0.0155092,3.44736e-05,-3.14152,-1.24543e-05,
2795.02,-0.329201,0.0431116,0.0155073,-0.000102487,-3.14154,-5.12953e-05,
2795.02,-0.329183,0.0430798,0.0155023,5.79245e-05,-3.14155,-7.29501e-06,
2795.03,-0.329183,0.0431116,0.0155084,1.46782e-05,-3.14156,-0.000131078,
2795.03,-0.329196,0.0430972,0.0154953,1.04471e-05,-3.14157,4.38724e-05,
2795.04,-0.329183,0.0431148,0.0155142,-0.000151382,-3.14156,-3.63536e-05,
2795.05,-0.329172,0.0431021,0.015499,2.58952e-05,3.14158,7.61365e-05,
2795.05,-0.329211,0.0431016,0.0155025,3.17652e-05,-3.14149,-1.65522e-06,
2795.06,-0.329187,0.0430999,0.0154941,8.15092e-05,3.14159,1.87638e-05,
2795.06,-0.329202,0.0430964,0.0155189,2.46433e-05,-3.14153,-5.78815e-05,
2795.07,-0.329172,0.043089,0.0154818,4.32947e-05,3.14156,-6.19732e-05,
2795.08,-0.329169,0.0431041,0.0154952,7.33651e-05,3.14158,-4.40123e-05,
2795.08,-0.329188,0.0431036,0.0154974,7.47359e-06,3.14158,2.63254e-05,
2795.09,-0.32919,0.0430845,0.0154884,-1.55105e-05,3.14157,-9.95203e-05,
2795.09,-0.329181,0.043079,0.0154996,-9.57579e-06,-3.14158,-1.23795e-05,
2795.1,-0.329157,0.0430802,0.0154775,5.31912e-05,3.1415,-9.26131e-05,
2795.1,-0.329165,0.0430763,0.0154938,4.9372e-05,3.14157,-5.74067e-05,
