time,CH1,CH2,CH3,CH4,CH5,CH6,
522.663,2116.26,2035.98,2016.23,1719.55,2124.86,2327.72,
522.67,2116.02,2035.56,2016.01,1719.49,2125.22,2328.01,
522.678,2116.46,2035.65,2016.11,1719.37,2125.03,2327.95,
522.681,2115.84,2035.55,2016.31,1719.77,2125.06,2328,
522.687,2115.79,2035.72,2016,1719.23,2124.92,2327.67,
522.69,2116.16,2035.86,2016.16,1719.53,2124.83,2327.83,
522.698,2115.91,2035.55,2015.92,1755.52,2124.53,2327.45,
522.705,2116.26,2035.73,2016.09,1719.53,2125,2327.64,
522.708,2116.26,2035.92,2016.16,1719.55,2124.74,2327.68,
522.715,2116.04,2035.53,2016,1719.64,2125.19,2328,
522.723,2116.22,2035.77,2016.02,1719.44,2124.96,2327.6,
522.726,2115.96,2035.8,2016.41,1719.74,2125.2,2327.78,
522.732,2116.37,2035.72,2016.27,1719.43,2124.72,2327.57,
522.739,2116.22,2036.11,2016.18,1719.65,2124.8,2327.48,
522.742,2115.96,2035.77,2016.13,1717.78,2130.09,2327.49,
522.751,2115.61,2069.73,2018.81,1715.61,2125.87,2327.74,
522.754,2116.18,2035.83,2016.29,1719.42,2124.89,2327.43,
522.759,2116.08,2035.62,2016.17,1719.52,2125.19,2328.29,
522.767,2116.19,2035.62,2016.43,1719.64,2124.74,2327.9,
522.77,2116.06,2035.64,2016.29,1719.78,2124.93,2327.33,
522.775,2115.79,2035.63,2016.09,1719.62,2124.86,2327.68,
522.778,2116.15,2035.74,2016.25,1719.79,2124.91,2327.77,
522.786,2116.06,2035.77,2015.87,1719.82,2125.15,2328.16,
522.794,2116.23,2035.7,2016.22,1719.5,2124.77,2327.71,
522.798,2115.94,2035.68,2016.54,1719.43,2124.87,2327.83,
522.804,2116.03,2035.41,2016.32,1719.44,2124.65,2327.95,
522.812,2116,2035.66,2016.23,1719.63,2124.71,2327.91,
522.815,2116.04,2035.54,2015.9,1719.75,2125.21,2327.98,
522.821,2116.17,2035.62,2016.28,1719.51,2124.67,2327.59,
522.824,2116.03,2035.96,2016.26,1719.6,2124.73,2327.62,
522.832,2116.13,2035.63,2016.11,1719.56,2125.01,2328.26,
522.839,2116.07,2035.56,2016.11,1719.42,2124.58,2327.85,
522.842,2115.9,2035.81,2016.23,1719.92,2124.69,2327.92,
522.85,2115.96,2035.96,2016.13,1719.53,2125.04,2328.14,
522.853,2116.39,2036.06,2016.14,1719.53,2124.54,2327.75,
522.86,2116.09,2035.74,2016.22,1719.47,2125.2,2327.77,
522.867,2116.21,2035.88,2015.91,1719.37,2124.89,2327.95,
522.87,2115.92,2035.57,2016.18,1719.65,2125.05,2327.85,
522.878,2116.01,2035.65,2016.06,1719.25,2124.82,2328.18,
522.885,2112.6,2039.42,2015,1715.86,2128.4,2324,
522.888,2119.97,2035.63,2013.71,1722.86,2121.21,2330.8,
522.892,2115.51,2034.98,2011.8,1718.24,2128.52,2325.27,
522.897,2116.43,2035.77,2016.12,1719.76,2125.01,2327.91,
522.9,2116.12,2035.73,2016.34,1719.68,2124.8,2328,
522.907,2116.06,2035.8,2016.18,1719.54,2124.87,2327.63,
522.915,2116.16,2035.97,2016.31,1719.52,2124.64,2327.79,
522.918,2115.96,2035.38,2016.05,1719.59,2125.07,2332.25,
522.926,2112.46,2036.38,2013.89,1714.21,2127.82,2323.87,
522.929,2119.68,2035.93,2016.22,1719.55,2124.69,2327.85,
522.937,2116.15,2035.55,2016.17,1719.63,2125.06,2327.77,
522.944,2116.2,2035.73,2016.28,1719.3,2124.83,2327.68,
522.947,2116.02,2035.57,2016.25,1719.72,2124.88,2328.03,
522.954,2116.06,2035.59,2016.17,1719.53,2124.65,2328.05,
522.957,2116.19,2035.54,2016,1719.48,2124.98,2327.86,
522.964,2116.04,2035.63,2016.26,1716.73,2128.55,2327.55,
522.972,2116.02,2035.58,2016.21,1719.39,2124.6,2327.74,
522.975,2116.08,2036.12,2016.23,1719.6,2124.7,2327.88,
522.981,2115.9,2035.81,2016.32,1719.62,2124.82,2328.06,
522.989,2116.31,2035.7,2016.23,1719.75,2124.64,2327.72,
522.992,2115.66,2035.65,2016.1,1719.72,2125.01,2327.84,
522.998,2115.84,2035.51,2016,1719.39,2124.67,2327.5,
523.001,2115.91,2035.82,2016.24,1719.55,2124.83,2327.88,
523.009,2115.95,2035.46,2015.96,1719.42,2128.98,2330.21,
523.016,2115.34,2035.71,2016.25,1719.32,2124.77,2327.84,
523.019,2115.82,2035.63,2012.76,1717.11,2123.07,2326.23,
523.026,2114.96,2035.35,2015.4,1719.23,2124.78,2328.15,
523.034,2115.98,2035.75,2016.4,1719.53,2124.81,2327.64,
523.038,2115.85,2035.79,2016.2,1719.52,2125.01,2327.92,
523.044,2116.38,2035.65,2015.96,1719.41,2124.74,2327.77,
523.047,2116.01,2036.07,2016.32,1719.63,2125.02,2327.82,
523.055,2115.82,2035.53,2016.23,1719.51,2124.81,2325.55,
523.062,2115.54,2032.03,2017.89,1721.65,2124.71,2327.62,
523.065,2111.12,2038.84,2015.13,1714.61,2128.61,2323.63,
523.073,2118.98,2035.66,2012.85,1715.92,2121.49,2332.66,
523.08,2116.02,2035.58,2016.19,1719.39,2124.98,2327.87,
523.083,2116.33,2035.99,2016.42,1719.67,2124.92,2327.83,
523.087,2115.98,2035.48,2016.22,1719.51,2124.93,2327.94,
523.095,2115.87,2035.76,2016.09,1719.39,2124.84,2327.92,
523.098,2115.96,2035.78,2016.55,1719.55,2125.05,2332.19,
523.106,2113.89,2035.79,2016.16,1719.37,2124.52,2328.15,
523.112,2116.36,2035.78,2016.29,1719.6,2124.83,2327.84,
523.115,2115.98,2035.89,2016.58,1719.58,2124.72,2327.67,
523.123,2116.07,2035.78,2016.12,1719.37,2124.86,2327.79,
523.126,2116.54,2035.68,2016.12,1719.68,2124.6,2327.72,
523.132,2115.72,2035.75,2016.28,1719.31,2124.75,2327.97,
523.14,2116.07,2035.76,2015.96,1719.51,2124.86,2327.55,
523.143,2116.02,2035.89,2016.16,1719.61,2124.83,2332.33,
523.151,2112.08,2036.63,2014.03,1714.57,2126.92,2324.27,
523.156,2114.28,2040.48,2016.4,1719.72,2124.82,2327.75,
523.159,2116.07,2035.69,2016.24,1719.6,2124.71,2327.79,
523.163,2116.17,2035.86,2016.14,1719.64,2124.74,2327.69,
523.171,2116.13,2035.9,2016.3,1719.82,2125.23,2327.7,
523.174,2115.87,2035.71,2016.14,1719.36,2125.11,2327.93,
523.181,2116.21,2035.59,2016.09,1719.47,2124.6,2327.91,
523.184,2115.87,2035.96,2016.42,1719.6,2124.91,2327.64,
523.192,2116.37,2035.65,2015.69,1719.58,2124.96,2333.6,
523.198,2115.89,1993.11,2016.24,1715.27,2127.59,2333.38,
523.201,2115.62,2035.98,2016.27,1719.58,2124.93,2327.84,
523.21,2116.19,2035.92,2016.24,1719.45,2124.77,2328.32,
523.217,2116.02,2035.64,2016.07,1719.18,2125.05,2327.86,
523.22,2115.88,2035.43,2016.02,1719.72,2124.81,2327.86,
523.227,2116.14,2035.73,2016.28,1719.36,2124.9,2327.64,
523.23,2116.06,2035.95,2016.39,1719.46,2124.86,2327.82,
523.238,2115.74,2035.77,2016.01,1719.43,2128.65,2326.27,
523.243,2119.64,2035.39,2010.77,1722.39,2127.82,2324.58,
523.246,2118.17,2035.96,2016.2,1719.73,2125.01,2327.96,
523.255,2116.1,2035.83,2016.07,1719.39,2124.87,2328.01,
523.262,2116.11,2035.68,2016.11,1719.38,2124.71,2327.82,
523.265,2116.03,2035.63,2016.25,1719.47,2124.9,2327.89,
523.272,2116.03,2035.76,2016.13,1719.64,2124.93,2327.67,
523.275,2115.82,2036.09,2016.35,1719.47,2125.08,2327.83,
523.283,2115.83,2035.55,2015.96,1719.19,2120.02,2331.16,
523.29,2116.18,2035.94,2016,1719.58,2124.78,2327.93,
523.293,2115.91,2035.86,2016.33,1719.72,2125.2,2327.79,
523.301,2116.29,2035.61,2016.13,1719.41,2124.55,2327.93,
523.309,2116.02,2035.79,2016.13,1719.41,2124.91,2327.48,
523.312,2115.91,2035.81,2016.2,1719.9,2125.23,2327.84,
523.318,2115.96,2036.09,2016.12,1719.3,2124.59,2327.7,
523.321,2115.88,2035.76,2016.07,1719.62,2124.67,2327.75,
523.328,2116.1,2035.82,2016.26,1719.29,2124.96,2322.64,
523.336,2118.53,2032.02,2018.33,1718.73,2124.88,2327.64,
523.339,2116.35,2035.53,2016.46,1719.97,2124.86,2327.78,
523.345,2116.08,2035.39,2016.28,1719.64,2124.67,2328.18,
523.354,2116.39,2035.71,2016.22,1719.48,2124.8,2327.8,
523.357,2116.13,2035.39,2016.13,1719.8,2125.2,2327.81,
523.363,2115.96,2035.58,2016.06,1719.49,2124.71,2327.58,
523.366,2115.93,2035.94,2016.35,1719.38,2124.79,2327.94,
523.374,2116.04,2035.87,2014.62,1722.83,2125.04,2328.16,
523.378,2115.89,2035.75,2016.06,1719.47,2125.01,2327.81,
523.381,2116.07,2035.92,2016.32,1719.6,2124.7,2327.91,
523.389,2116.04,2035.67,2016.13,1719.66,2124.73,2328.05,
523.397,2115.98,2035.68,2016.15,1719.53,2124.77,2327.82,
523.4,2115.96,2035.37,2016.05,1716.61,2122.3,2325.63,
523.407,2114.96,2034.8,2015.69,1718.99,2124.61,2327.33,
523.41,2116.34,2035.93,2016.15,1719.63,2124.79,2328.02,
523.418,2115.98,2035.6,2016.03,1719.6,2128.97,2328.71,
523.423,2116.28,2033.74,2010.95,1679.85,2123.11,2328.94,
523.426,2116.34,2036.16,2016.57,1719.94,2124.94,2327.89,
523.435,2116.33,2035.95,2016.25,1719.57,2124.97,2328.45,
523.441,2116.24,2035.56,2016.35,1719.66,2124.72,2327.68,
523.444,2115.97,2035.6,2016.28,1716.63,2122.2,2325.8,
523.451,2114.84,2034.84,2015.59,1719.02,2124.58,2327.54,
523.454,2116.23,2035.81,2016.27,1719.54,2125,2327.85,
523.462,2115.9,2035.82,2016.1,1719.43,2122.94,2327.82,
523.47,2116.3,2032.53,2016.08,1719.46,2124.69,2327.95,
523.473,2116.24,2035.94,2016.28,1719.7,2124.96,2327.58,
523.479,2116.02,2035.9,2016.06,1719.5,2124.84,2328.08,
523.488,2116.37,2035.76,2016.11,1719.81,2124.66,2327.87,
523.491,2116.02,2035.53,2015.86,1719.37,2124.96,2327.96,
523.497,2116.19,2035.75,2016.08,1719.4,2124.79,2327.69,
523.5,2116.03,2035.85,2016.23,1719.65,2125.06,2327.8,
523.508,2116.08,2035.8,2016.01,1719.64,2122.22,2326.63,
523.515,2112.49,2037.92,2016.36,1719.71,2125.08,2327.81,
523.518,2116.08,2036.23,2016.3,1719.7,2125.06,2327.58,
523.526,2116.1,2035.78,2016.08,1719.6,2124.95,2327.94,
523.534,2116.23,2035.56,2016.16,1719.38,2124.75,2327.69,
523.537,2116.23,2035.61,2016.12,1719.86,2124.91,2327.91,
523.542,2116.07,2035.69,2016.11,1719.46,2124.35,2327.62,
523.545,2116.24,2035.93,2016.2,1719.5,2124.8,2327.87,
523.553,2116.07,2035.89,2016.17,1719.37,2129.77,2327.93,
523.559,2115.89,2069.71,2018.54,1719.52,2124.69,2327.73,
523.562,2115.79,2036.03,2016.45,1719.65,2124.74,2327.99,
523.57,2115.86,2035.61,2016.01,1719.28,2125.09,2328.15,
523.578,2116.18,2035.88,2016.16,1719.43,2124.73,2327.66,
523.581,2116.08,2035.56,2016.11,1719.66,2125.06,2327.98,
523.587,2116.05,2035.42,2016.14,1719.39,2124.57,2327.68,
523.59,2116.05,2036.09,2016.15,1719.36,2124.71,2328.03,
523.597,2116.04,2035.94,2016.1,1719.41,2126.88,2327.96,
523.604,2115.74,2070.09,2019.55,1719.81,2125.09,2327.74,
523.608,2115.96,2035.89,2016.34,1719.73,2124.9,2327.93,
523.615,2115.8,2035.72,2016.28,1719.54,2124.77,2328.09,
523.623,2116.13,2035.62,2016.03,1719.5,2124.72,2327.59,
523.626,2116.22,2035.57,2016.04,1719.7,2125.11,2328.02,
523.632,2116.02,2035.7,2016.06,1719.64,2124.88,2327.7,
523.635,2116.21,2035.84,2016.53,1719.69,2124.66,2328.01,
523.643,2115.86,2035.83,2016.23,1719.66,2120.13,2331.99,
523.651,2116.49,2035.93,2015.92,1719.75,2124.99,2327.87,
523.654,2115.94,2035.68,2016.21,1719.79,2124.65,2327.83,
523.66,2116.01,2035.39,2016.22,1719.56,2124.87,2327.77,
523.663,2116.19,2035.53,2016.03,1719.4,2124.51,2327.91,
523.67,2115.85,2035.57,2016.08,1719.56,2125.16,2327.92,
523.678,2115.96,2035.58,2016.07,1719.51,2125.02,2327.51,
523.681,2115.97,2035.81,2016.27,1719.8,2124.84,2327.9,
523.689,2116.08,2035.58,2016.06,1722.82,2120.95,2332.43,
523.696,2121.52,2035.88,2016.32,1719.54,2125.05,2327.59,
523.699,2116.06,2036.01,2016.44,1719.79,2124.84,2327.73,
523.706,2116.23,2035.6,2016.19,1719.56,2124.98,2327.8,
523.709,2116.34,2035.75,2016.07,1719.49,2124.82,2327.86,
523.716,2115.88,2035.51,2016.21,1719.63,2125.18,2327.92,
523.724,2116.25,2035.69,2016.05,1719.66,2124.94,2327.69,
523.727,2115.97,2035.89,2016.38,1719.54,2124.78,2327.81,
523.735,2115.88,2039.31,2011.94,1718.69,2124.47,2331.56,
523.739,2112.26,2039.1,2014.87,1715.49,2125.02,2327.87,
523.742,2115.99,2035.8,2016.28,1719.79,2124.97,2327.69,
523.749,2116.24,2035.79,2016.19,1719.47,2124.78,2328.24,
523.758,2116.34,2035.72,2016.24,1719.57,2125.08,2327.82,
523.761,2115.96,2035.26,2016.06,1719.76,2125.07,2328.02,
523.767,2116.1,2035.95,2016.2,1719.45,2124.99,2327.54,
523.77,2116.13,2035.7,2016.19,1719.53,2124.92,2327.8,
523.778,2116.06,2035.78,2015.96,1719.62,2125.32,2327.97,
523.784,2116.34,2035.83,2016.25,1719.41,2124.7,2327.97,
523.787,2116.24,2035.84,2016.59,1719.26,2124.84,2327.81,
523.795,2116.2,2035.75,2016.07,1719.46,2124.83,2328.18,
523.803,2116.35,2035.73,2016.4,1719.55,2124.83,2327.83,
523.806,2116.06,2035.72,2016.08,1719.73,2125.11,2327.8,
523.813,2116.16,2035.72,2016.04,1719.72,2124.7,2327.63,
523.816,2116.03,2035.92,2016.39,1719.69,2125.1,2327.58,
523.824,2116.03,2035.76,2013.72,1682.69,2125.3,2323.85,
523.83,2117.35,2035.44,2014.34,1718.83,2122.61,2330.76,
523.833,2115.78,2033.07,2016.28,1719.76,2125.08,2327.84,
523.838,2116.49,2035.77,2015.98,1719.45,2125.19,2328.04,
523.845,2116.28,2035.92,2016.14,1719.58,2124.76,2327.81,
523.848,2116.07,2035.43,2016.16,1719.78,2125.04,2327.78,
523.855,2115.99,2035.53,2016.42,1719.66,2124.93,2327.85,
523.858,2116.09,2035.68,2016.36,1719.67,2125.09,2327.58,
523.866,2115.8,2035.91,2016.23,1753.58,2128.51,2323.41,
523.875,2120.44,2035.74,2011.9,1719.55,2124.88,2327.95,
523.878,2115.97,2036.02,2016.28,1719.57,2124.89,2327.82,
523.884,2116.08,2035.79,2016.07,1719.5,2125,2328.19,
523.892,2116.2,2035.71,2016,1719.54,2124.84,2328.01,
523.895,2115.88,2035.82,2016.28,1719.74,2124.96,2327.85,
523.9,2115.99,2035.66,2016.14,1719.44,2124.68,2327.93,
523.903,2116.31,2036.11,2016.04,1719.53,2124.71,2327.74,
523.911,2116,2035.62,2016.15,1719.81,2124.91,2327.91,
