time,x,y,z,r,p,y,
523.062,-0.32917,0.0430836,0.015498,-2.3065e-06,3.14157,-1.66322e-05,
523.065,-0.329167,0.0431092,0.015491,1.7112e-05,3.14152,5.6515e-05,
523.073,-0.329199,0.0430865,0.0154986,9.9886e-05,-3.14156,-6.00111e-05,
523.08,-0.329177,0.043086,0.0154796,5.06852e-06,3.14155,-5.03942e-05,
523.083,-0.329179,0.043085,0.0154895,-2.26101e-05,3.14158,-2.45902e-05,
523.087,-0.329177,0.0430937,0.0154808,0.000129514,3.14156,-8.31245e-05,
523.095,-0.329188,0.0430939,0.015494,2.75921e-05,3.14158,2.10418e-05,
523.098,-0.329188,0.0430832,0.0154882,3.03162e-05,-3.14156,2.59956e-05,
523.106,-0.329215,0.0431084,0.015506,1.05882e-05,-3.14152,-5.3712e-05,
523.112,-0.329202,0.0430873,0.0155002,4.88821e-05,-3.14154,-1.19724e-05,
523.115,-0.32921,0.0430942,0.0155095,4.8959e-05,-3.14148,-2.74764e-05,
523.123,-0.329182,0.0430861,0.0154882,-0.000151372,3.14157,-3.61898e-05,
523.126,-0.329159,0.0430716,0.0155019,3.01562e-05,3.14155,-6.2772e-05,
523.132,-0.329194,0.0430902,0.0155003,8.64017e-05,-3.14154,-1.61852e-05,
523.14,-0.329203,0.043105,0.0155097,-9.69346e-06,-3.14156,-8.59836e-05,
523.143,-0.329222,0.0431088,0.015501,-0.000119012,-3.14152,-2.72754e-05,
523.151,-0.329208,0.0431285,0.0155048,-7.98016e-05,-3.14154,-0.000129431,
523.156,-0.32919,0.0431072,0.0154992,0.000125875,3.14157,5.16313e-05,
523.159,-0.329181,0.0430838,0.0155017,-1.53849e-05,-3.14155,-2.82129e-05,
523.163,-0.329162,0.043081,0.0154919,-7.43114e-05,3.14155,-8.24166e-06,
523.171,-0.32921,0.0430846,0.0155087,0.000191071,-3.14153,-4.27417e-05,
523.174,-0.329191,0.0430958,0.0154871,-1.59308e-05,3.14158,1.64997e-05,
523.181,-0.329181,0.0430693,0.0154911,8.0917e-05,-3.14159,9.32188e-05,
523.184,-0.32918,0.0430992,0.0154851,-2.97071e-05,3.14152,-6.02362e-05,
523.192,-0.329195,0.0430806,0.0155112,2.16274e-05,-3.14155,-7.11124e-06,
523.198,-0.329185,0.0430919,0.0154984,3.37195e-05,-3.14159,9.32723e-06,
523.201,-0.329163,0.0430621,0.0154728,-3.35499e-05,3.14149,-0.000147346,
523.21,-0.329186,0.0430923,0.015492,3.01573e-06,3.14158,-4.02573e-05,
523.217,-0.329183,0.0430904,0.0155,0.000154324,3.14159,-5.33927e-06,
523.22,-0.329205,0.0431061,0.0155067,-2.90278e-05,-3.14154,-7.34044e-05,
523.227,-0.3292,0.0430916,0.0155034,-2.3387e-05,-3.14158,-7.39299e-06,
523.23,-0.329189,0.0430973,0.0154926,-5.44932e-05,3.14155,-6.98332e-06,
523.238,-0.329209,0.0430956,0.0155222,-5.76243e-05,-3.1415,-9.43337e-05,
