1.675e-06,0,0,0,0,0,0,0,
0.00505858,0,0,0,0,0,0,0,
0.0101389,0,0,0,0,0,0,0,
0.0152221,0,0,0,0,0,0,0,
0.0203103,0,0,0,0,0,0,0,
0.0253932,0,0,0,0,0,0,0,
0.0304835,0,0,0,0,0,0,0,
0.0355497,0,0,0,0,0,0,0,
0.0406356,0,0,0,0,0,0,0,
0.0457234,0,0,0,0,0,0,0,
0.0507942,0,0,0,0,0,0,0,
0.0558728,0,0,0,0,0,0,0,
0.0609669,0,0,0,0,0,0,0,
0.0660538,0,0,0,0,0,0,0,
0.0711364,0,0,0,0,0,0,0,
0.0762327,0,0,0,0,0,0,0,
0.0813198,0,0,0,0,0,0,0,
0.0864057,0,0,0,0,0,0,0,
0.0914748,0,0,0,0,0,0,0,
0.0965439,0,0,0,0,0,0,0,
0.101628,0,0,0,0,0,0,0,
0.10672,0,0,0,0,0,0,0,
0.111807,0,0,0,0,0,0,0,
0.116896,0,0,0,0,0,0,0,
0.121978,0,0,0,0,0,0,0,
0.127073,0,0,0,0,0,0,0,
0.132188,0,0,0,0,0,0,0,
0.137279,0,0,0,0,0,0,0,
0.142362,0,0,0,0,0,0,0,
0.147447,0,0,0,0,0,0,0,
0.152529,0,0,0,0,0,0,0,
0.157617,0,0,0,0,0,0,0,
0.1627,0,0,0,0,0,0,0,
0.16779,0,0,0,0,0,0,0,
0.172871,0,0,0,0,0,0,0,
0.177979,1.06753,0.961095,1.54848,1.31063,1.06354,1.52277,0.855351,
0.183063,1.11332,0.961065,1.54843,1.31053,1.06349,1.52296,0.85534,
0.188129,1.11332,0.961065,1.54843,1.31053,1.06349,1.52296,0.85534,
0.193213,1.11332,0.961065,1.54843,1.31053,1.06349,1.52296,0.85534,
0.1983,1.11332,0.961065,1.54843,1.31053,1.06349,1.52296,0.85534,
0.203384,1.11332,0.961065,1.54843,1.31053,1.06349,1.52296,0.85534,
0.208471,1.11332,0.961065,1.54843,1.31053,1.06349,1.52296,0.85534,
0.213555,1.11332,0.961065,1.54843,1.31053,1.06349,1.52296,0.85534,
0.218644,1.11332,0.961065,1.54843,1.31053,1.06349,1.52296,0.85534,
