Relative_Time(s),Ard_Micros,CH1(V),CH2(V),CH3(V),CH4(V),CH5(V),CH6(V)
0.000000,384700576,1.49709600,1.46395522,0.84245811,0.95400047,1.29733816,1.06468333
0.003067,384703643,1.49689752,1.46400767,0.84257613,0.95408272,1.29750506,1.06484664
0.011065,384711641,1.49707931,1.46400529,0.84237466,0.95404100,1.29720286,1.06464339
0.014097,384714673,1.49733025,1.46398979,0.84241877,0.95409166,1.29721538,1.06479598
0.021153,384721729,1.49695951,1.46405536,0.84229360,0.95405173,1.29745558,1.06466842
0.029073,384729649,1.49680990,1.46398443,0.84232758,0.95399153,1.29703537,1.06479002
0.032114,384732690,1.49674791,1.46379071,0.84252368,0.95415186,1.29738644,1.06469048
0.040127,384740703,1.49696904,1.46398919,0.84218512,0.95407080,1.29720942,1.06490982
0.043200,384743776,1.49694520,1.46396654,0.84250222,0.95384848,1.29732028,1.06461120
0.046239,384746815,1.49724680,1.46404165,0.84231327,0.95407020,1.29746870,1.06480969
0.054353,384754929,1.49733680,1.46381038,0.84240387,0.95408511,1.29713253,1.06462670
0.057485,384758061,1.49681944,1.46398562,0.84244559,0.95394146,1.29735843,1.06451047
0.063618,384764194,1.49687844,1.46377521,0.84246169,0.95395636,1.29743532,1.06487108
0.071568,384772144,1.49726886,1.46387237,0.84229420,0.95386695,1.29705743,1.06485260
0.074595,384775171,1.49716932,1.46387893,0.84241341,0.95401835,1.29409507,1.06455100
0.081805,384782381,1.49966317,1.46132546,0.84556232,0.95433723,1.29537181,1.06797708
0.085046,384785622,1.49358350,1.46614390,0.84499429,0.95457029,1.29727677,1.06788588
0.091731,384792307,1.49609762,1.46354514,0.84560345,0.95419001,1.29726306,1.06485320
0.099008,384799584,1.49697560,1.46384376,0.84236572,0.95405888,1.29744188,1.06471611
0.102068,384802644,1.49744111,1.46421629,0.84246049,0.95411789,1.29733399,1.06473339
0.110064,384810640,1.49719197,1.46394449,0.84236870,0.95409583,1.29752234,1.06480730
0.117146,384817722,1.49704713,1.46395403,0.84229956,0.95409226,1.29722670,1.06462074
0.120173,384820749,1.49704772,1.46395582,0.84256242,0.95319819,1.29744486,1.06464697
0.127167,384827743,1.49703282,1.46406191,0.84249507,0.95387113,1.29726545,1.06450332
0.130226,384830802,1.49454135,1.46213668,0.84170828,0.95364224,1.29679993,1.06436027
0.136601,384837177,1.49665135,1.46354395,0.84217082,0.95416438,1.29749373,1.06481982
0.144564,384845140,1.49692851,1.46402615,0.84252487,0.95412802,1.29737750,1.06488598
0.147592,384848168,1.49720806,1.46407264,0.84247420,0.95412266,1.29751400,1.06471849
