Relative_Time(s),Ard_Micros,CH1(V),CH2(V),CH3(V),CH4(V),CH5(V),CH6(V)
0.000000,15697116,1.50079924,1.46554845,0.84487269,0.95506858,1.28846243,1.05503751
0.003036,15700152,1.50073487,1.46578151,0.84486673,0.95506262,1.28849462,1.05519427
0.010912,15708028,1.50100070,1.46559971,0.84457646,0.95519077,1.28830806,1.05518592
0.018002,15715118,1.50087851,1.46551269,0.84479878,0.95518720,1.28841714,1.05576587
0.021119,15718235,1.50068003,1.46554964,0.84482024,0.95508348,1.28883735,1.05521811
0.025649,15722765,1.50098819,1.46558958,0.84483276,0.95535111,1.28846601,1.05513287
0.029902,15727018,1.50092918,1.46563607,0.84478031,0.95514368,1.28831938,1.05510605
0.032920,15730036,1.50084275,1.46569687,0.84480773,0.95526349,1.28845290,1.05528963
0.040948,15738064,1.50087971,1.46539050,0.84479521,0.95501673,1.28842190,1.05502618
0.043972,15741088,1.50096673,1.46560806,0.84483514,0.95539522,1.28840581,1.05538738
0.050068,15747184,1.50091606,1.46561461,0.84457646,0.95511686,1.28839091,1.05521453
0.058143,15755259,1.50064725,1.46559673,0.84476600,0.95506024,1.28836707,1.05503452
0.061244,15758360,1.50073665,1.46543163,0.84459613,0.95866453,1.32458107,1.05648649
0.067593,15764709,1.50168318,1.46295923,0.84727953,0.95234405,1.29213110,1.05484915
0.072139,15769255,1.49807531,1.46550256,0.84471057,0.95510792,1.28844396,1.05491234
0.075302,15772418,1.50089341,1.46539408,0.84500561,0.95528078,1.28838018,1.05508519
0.082516,15779632,1.50075036,1.46564680,0.84486971,0.95515382,1.28848866,1.05511320
0.085554,15782670,1.50120932,1.46560746,0.84493468,0.95506501,1.28848151,1.05488551
0.092674,15789790,1.50075692,1.46552640,0.84460149,0.95512998,1.28867880,1.05511261
0.100804,15797920,1.50091845,1.46565693,0.84480653,0.95509004,1.28841654,1.05504764
0.103906,15801022,1.50076288,1.46575051,0.84475170,0.95499348,1.28858641,1.05366123
