time,FX,FY,FZ,RX,RY,RZ,
5.59552,-2.33941,1.55767,-3.37521,-0.404327,0.410097,-0.0214057,
5.60341,-2.47286,1.46598,-3.40975,-0.404862,0.407278,-0.0189548,
5.60664,-2.49158,1.37027,-3.39641,-0.404691,0.406275,-0.017958,
5.611,-2.39184,1.37915,-3.32596,-0.401729,0.409094,-0.0158053,
5.61562,-2.35369,1.61293,-3.46441,-0.405664,0.408834,-0.0198643,
5.61894,-2.26129,1.32801,-3.34181,-0.400901,0.408354,-0.0200362,
5.62343,-2.44717,1.4356,-3.4339,-0.401652,0.40668,-0.0173904,
5.63147,-2.67835,1.18878,-3.33846,-0.394606,0.402321,-0.0208002,
5.6345,-2.36217,1.23786,-3.22775,-0.395644,0.410854,-0.0190177,
5.64152,-2.38517,1.27168,-3.29843,-0.397104,0.40651,-0.018935,
5.64456,-2.2174,1.41511,-3.40565,-0.400551,0.41388,-0.0189503,
5.65249,-2.55554,1.44154,-3.38176,-0.402919,0.405396,-0.0198804,
5.65858,-2.5461,1.2236,-3.44742,-0.396943,0.404307,-0.0185151,
5.66168,-2.29067,1.40399,-3.2874,-0.401086,0.410056,-0.0245315,
5.6698,-2.75964,1.44684,-3.54683,-0.405265,0.402824,-0.0211786,
5.67698,-2.39671,1.51429,-3.36193,-0.404956,0.409085,-0.0198839,
5.68,-2.47255,1.36704,-3.35534,-0.400704,0.405375,-0.0199231,
5.68792,-2.52255,1.51857,-3.39519,-0.405837,0.406168,-0.0194308,
5.69096,-2.39954,1.30949,-3.39368,-0.398758,0.409086,-0.0186232,
5.69911,-2.49646,1.45108,-3.45836,-0.402453,0.405935,-0.0199669,
5.70542,-2.56237,1.35433,-3.326,-0.403256,0.405041,-0.0170714,
5.70845,-2.41159,1.36002,-3.33035,-0.400163,0.408424,-0.0217068,
5.71641,-2.6628,1.40331,-3.3226,-0.401916,0.39927,-0.0193985,
5.71944,-2.45051,1.38526,-3.25344,-0.402708,0.403767,-0.0213085,
5.7265,-2.46884,1.43955,-3.25525,-0.402554,0.406093,-0.019929,
5.73442,-2.46817,1.44365,-3.47312,-0.402864,0.40839,-0.0195263,
5.73744,-2.53345,1.40929,-3.36994,-0.401348,0.404942,-0.0210235,
5.74194,-2.386,1.43357,-3.50087,-0.401359,0.406196,-0.0194995,
5.74812,-2.39402,1.47562,-3.47351,-0.404357,0.40918,-0.0149134,
5.75122,-2.61238,1.51996,-3.33974,-0.40426,0.403283,-0.0217509,
5.7593,-2.54285,1.37007,-3.35289,-0.402838,0.401301,-0.0199868,
5.76241,-2.69999,1.45128,-3.48692,-0.401858,0.401151,-0.0206739,
5.7695,-2.66897,1.49507,-3.35356,-0.402819,0.402929,-0.0189118,
5.77741,-2.46092,1.45052,-3.38896,-0.404953,0.40633,-0.0158924,
5.78045,-2.48001,1.31377,-3.32792,-0.399277,0.405361,-0.021392,
5.7886,-2.44162,1.41161,-3.36042,-0.400818,0.409561,-0.0159047,
5.7917,-2.55193,1.36059,-3.31852,-0.401627,0.406957,-0.0193318,
5.79696,-2.39089,1.38066,-3.30281,-0.399856,0.409071,-0.0222576,
5.80493,-2.37021,1.50804,-3.41467,-0.406725,0.407715,-0.0228583,
5.80796,-2.87537,1.38314,-3.43257,-0.399177,0.392806,-0.0225338,
5.81502,-2.60286,1.44024,-3.47458,-0.401,0.400909,-0.0203708,
5.82291,-2.61539,1.26388,-3.33786,-0.398469,0.400715,-0.019213,
5.82593,-2.33575,1.37246,-3.36429,-0.400884,0.406801,-0.0205115,
5.83398,-2.32247,1.51944,-3.50149,-0.403802,0.408607,-0.0199975,
5.83701,-2.57984,1.37009,-3.41384,-0.401035,0.405294,-0.0182818,
5.8431,-2.64144,1.39483,-3.22275,-0.403037,0.401778,-0.019365,
5.8512,-2.6797,1.49659,-3.4091,-0.40448,0.400678,-0.0165659,
5.85431,-2.47714,1.56335,-3.42809,-0.408562,0.406183,-0.0175397,
5.86147,-2.52367,1.42066,-3.47722,-0.402782,0.409123,-0.0204525,
5.8645,-2.45715,1.31797,-3.39812,-0.398655,0.409303,-0.0217028,
5.87241,-2.61986,1.44674,-3.44769,-0.403809,0.40428,-0.0198214,
5.87856,-2.62234,1.49179,-3.46546,-0.402919,0.403511,-0.0189873,
5.88159,-2.30701,1.55709,-3.60141,-0.406832,0.409049,-0.0211095,
5.88891,-2.26237,1.46558,-3.41034,-0.403535,0.410725,-0.0187382,
5.89691,-2.41071,1.36577,-3.43923,-0.400874,0.408893,-0.0184643,
5.89994,-2.52733,1.34213,-3.36047,-0.402246,0.403032,-0.0170821,
5.90701,-2.55805,1.39527,-3.40728,-0.39963,0.404679,-0.0170638,
5.91004,-2.51248,1.47127,-3.41256,-0.405772,0.402958,-0.0219635,
5.91793,-2.39375,1.47031,-3.27909,-0.403968,0.406088,-0.0202146,
5.92431,-2.58684,1.4656,-3.28928,-0.405397,0.404862,-0.0196773,
5.92756,-2.68247,1.49662,-3.42449,-0.407038,0.403182,-0.0181696,
5.93404,-2.57744,1.3127,-3.24081,-0.397639,0.406734,-0.0165474,
5.94192,-2.72845,1.41532,-3.38025,-0.403247,0.400724,-0.0176501,
5.94495,-2.55474,1.26831,-3.32342,-0.397522,0.404068,-0.0176333,
5.95202,-2.62249,1.2891,-3.41544,-0.396982,0.402962,-0.0175666,
5.95505,-2.5716,1.40545,-3.3995,-0.403877,0.405121,-0.0204901,
5.96292,-2.44534,1.36983,-3.2581,-0.39951,0.4054,-0.0186456,
5.96903,-2.40958,1.3523,-3.20095,-0.401114,0.40744,-0.0219151,
5.97206,-2.36338,1.34666,-3.31213,-0.403473,0.410272,-0.01912,
5.97933,-2.46809,1.34769,-3.38704,-0.400867,0.408766,-0.0208598,
5.98242,-2.60823,1.24959,-3.21985,-0.398526,0.403048,-0.0231386,
5.99042,-2.67759,1.44607,-3.33229,-0.405646,0.403571,-0.0174204,
5.99751,-2.36832,1.30267,-3.24671,-0.398928,0.408023,-0.017474,
6.00053,-2.68885,1.24846,-3.27641,-0.399697,0.39982,-0.0240553,
6.00843,-2.58681,1.25123,-3.25372,-0.399715,0.402278,-0.0177582,
6.05699,-2.48727,1.3415,-3.2705,-0.401864,0.404328,-0.0196474,
6.06099,-2.56538,1.36206,-3.33312,-0.401149,0.405702,-0.0208194,
6.0689,-2.65963,1.29997,-3.30713,-0.398037,0.403054,-0.0179069,
6.07193,-2.64056,1.40454,-3.25481,-0.404555,0.405458,-0.0159904,
6.079,-2.67366,1.38921,-3.37169,-0.402107,0.403153,-0.0137449,
6.08203,-2.68271,1.37758,-3.26394,-0.40257,0.402869,-0.0172114,
6.08992,-2.50655,1.56293,-3.26523,-0.4045,0.404026,-0.0192492,
6.09701,-2.45883,1.34451,-3.22028,-0.400198,0.40555,-0.0195252,
6.10024,-2.53695,1.59638,-3.24795,-0.407911,0.40518,-0.0137714,
6.10779,-2.62347,1.36881,-3.38565,-0.401439,0.402433,-0.0172657,
6.11586,-2.34375,1.5549,-3.37944,-0.407098,0.412967,-0.0195861,
6.11892,-2.75509,1.42855,-3.40454,-0.403642,0.400945,-0.0185582,
6.126,-2.71071,1.52431,-3.45871,-0.407129,0.398907,-0.0185719,
6.12903,-2.49227,1.33403,-3.32079,-0.400768,0.406925,-0.015885,
6.13693,-2.5412,1.43309,-3.34726,-0.404932,0.404954,-0.0194667,
6.143,-2.52476,1.43458,-3.42612,-0.405511,0.404415,-0.0191265,
6.19297,-2.43633,1.36374,-3.38385,-0.403606,0.40646,-0.0170905,
6.19699,-2.52693,1.44583,-3.25157,-0.401598,0.404943,-0.0177661,
6.20003,-2.47167,1.50203,-3.254,-0.408222,0.407886,-0.0189056,
6.20794,-2.54462,1.49534,-3.20622,-0.403579,0.405922,-0.0163598,
6.21499,-2.45538,1.49537,-3.16537,-0.405018,0.409964,-0.0166764,
6.21802,-2.59831,1.35544,-3.3109,-0.402511,0.406078,-0.0202908,
6.22591,-2.61897,1.40195,-3.3761,-0.404077,0.403374,-0.021752,
6.22894,-2.63878,1.43573,-3.17835,-0.401071,0.400978,-0.0220162,
6.23619,-2.4294,1.36472,-3.26825,-0.400835,0.407104,-0.0162014,
6.24076,-2.5974,1.29663,-3.1356,-0.399215,0.403998,-0.0234325,
6.24395,-2.53983,1.56328,-3.25467,-0.406109,0.403363,-0.0183282,
6.24923,-2.51971,1.48787,-3.26766,-0.404266,0.405279,-0.0196834,
6.25736,-2.80599,1.44729,-3.26363,-0.402358,0.399601,-0.0186563,
6.26041,-2.39148,1.40219,-3.34916,-0.401736,0.40794,-0.0197335,
6.26753,-2.67087,1.41315,-3.30102,-0.399963,0.401832,-0.0202042,
6.27056,-2.46105,1.60905,-3.29944,-0.407953,0.407116,-0.0185516,
6.27885,-2.34373,1.53229,-3.39984,-0.403447,0.410883,-0.0162637,
6.28694,-2.75466,1.47511,-3.31757,-0.404474,0.398496,-0.0195637,
6.28997,-2.30371,1.43819,-3.33072,-0.403973,0.411154,-0.0191905,
6.296,-2.80363,1.53966,-3.38044,-0.406788,0.399761,-0.0193413,
6.30392,-2.58439,1.26721,-3.38028,-0.399939,0.407283,-0.0175164,
6.30695,-2.63267,1.38198,-3.45769,-0.4039,0.401952,-0.0216359,
6.31402,-2.46375,1.44305,-3.29565,-0.399657,0.407441,-0.0140841,
6.31705,-2.49914,1.22756,-3.39972,-0.395097,0.406266,-0.0216295,
6.32505,-2.30776,1.53053,-3.35684,-0.404091,0.408975,-0.0189552,
6.32949,-2.51517,1.35459,-3.30861,-0.401578,0.408154,-0.0183184,
6.33252,-2.7583,1.23747,-3.38216,-0.397149,0.403382,-0.0204805,
6.34042,-2.44062,1.32646,-3.35367,-0.399601,0.409997,-0.0191943,
6.34344,-2.51916,1.32704,-3.37044,-0.398766,0.407351,-0.0188864,
6.35053,-2.5957,1.24397,-3.41199,-0.398612,0.401851,-0.0201962,
6.35842,-2.62257,1.2949,-3.2811,-0.400732,0.402075,-0.017353,
6.36145,-2.67994,1.37601,-3.37195,-0.401711,0.402953,-0.017264,
