time,x,y,z,r,p,y,
2595.63,-0.32918,0.0430981,0.00550525,-8.28325e-05,-3.14157,-6.90933e-05,
2595.63,-0.329167,0.0430971,0.00550061,4.63967e-05,3.14157,3.67721e-06,
2595.64,-0.329184,0.0431014,0.00550488,-1.91524e-05,-3.14156,-6.79149e-05,
2595.64,-0.329181,0.0431114,0.00551958,-2.49868e-05,-3.14157,-9.82462e-06,
2595.65,-0.329196,0.0431081,0.00550403,-8.449e-05,-3.14155,-4.42602e-05,
2595.65,-0.329178,0.0431013,0.00551015,7.80251e-05,3.14159,1.9125e-05,
2595.65,-0.329195,0.0431042,0.00551187,-1.23398e-05,-3.14157,1.61682e-05,
2595.66,-0.329178,0.0431079,0.00549875,2.0276e-05,3.14157,1.46658e-06,
2595.67,-0.329187,0.0430988,0.00550272,1.81531e-05,-3.14156,-2.20278e-05,
2595.67,-0.329166,0.0431022,0.00550765,6.52061e-05,3.14156,5.0867e-05,
2595.68,-0.329184,0.0430963,0.0054938,-1.11451e-05,3.14157,-1.71628e-05,
2595.68,-0.329179,0.0430789,0.00551329,3.80812e-05,-3.14158,-9.14694e-06,
2595.69,-0.329184,0.0430741,0.00549558,-8.73094e-05,3.14157,-9.02616e-05,
2595.7,-0.329177,0.043073,0.00548396,1.35888e-05,3.14153,-7.10064e-05,
2595.7,-0.329206,0.043103,0.00552177,-4.83433e-05,-3.14148,-0.000134699,
2595.71,-0.329188,0.0430764,0.0054862,-0.00011543,3.14158,-5.02603e-05,
2595.71,-0.329199,0.0431106,0.00550651,-2.58511e-05,-3.14154,-0.000107994,
2595.72,-0.329197,0.043113,0.00551823,-0.00011067,-3.1415,-6.84206e-05,
2595.72,-0.329176,0.0430945,0.00549906,4.48439e-05,3.14155,7.56665e-05,
2595.73,-0.329201,0.0430898,0.00551506,3.7962e-05,-3.14153,3.24232e-05,
2595.73,-0.329194,0.0430848,0.00550732,5.00525e-05,-3.14155,3.64229e-05,
2595.74,-0.329201,0.0431171,0.00551956,-9.82666e-05,-3.14155,-8.60306e-05,
2595.74,-0.329199,0.0431129,0.00551991,-0.000137771,-3.14149,-3.00151e-05,
2595.75,-0.329196,0.0431,0.00551001,-5.88455e-05,-3.1415,-3.94005e-05,
2595.75,-0.329168,0.043085,0.00549318,-5.98253e-06,3.14157,-7.66039e-05,
2595.76,-0.32918,0.0430971,0.00550751,-7.76275e-06,-3.14159,4.37268e-05,
2595.77,-0.329176,0.0430899,0.0055079,-1.43167e-05,-3.14158,2.16747e-05,
2595.77,-0.329192,0.0431111,0.00551767,-5.30946e-05,-3.14154,-9.61069e-05,
2595.78,-0.329201,0.0431107,0.00550405,-3.2989e-05,-3.14154,1.88618e-05,
2595.78,-0.329191,0.0431095,0.00550544,1.75054e-07,-3.14156,-5.49269e-05,
2595.79,-0.329197,0.0431026,0.00550531,-5.22073e-05,-3.14154,-4.86892e-05,
2595.8,-0.329204,0.043104,0.00551799,-1.02367e-06,-3.14154,-2.29845e-05,
2595.8,-0.329158,0.0430909,0.00549238,2.75685e-05,3.14153,2.06347e-05,
2595.81,-0.329182,0.0431052,0.00550032,0.00010361,3.14155,1.60188e-06,
2595.81,-0.329184,0.0430919,0.00550342,2.85251e-05,3.14158,2.06656e-05,
2595.82,-0.329151,0.0430896,0.00549734,2.54363e-08,3.14155,-5.54917e-05,
2595.82,-0.329182,0.0430995,0.00550546,2.03846e-05,-3.14156,-2.20901e-05,
2595.83,-0.329205,0.0431054,0.00551627,5.21837e-07,-3.14154,-2.07306e-05,
2595.83,-0.329162,0.0430874,0.00548996,8.48016e-05,3.14154,-9.09656e-05,
2595.84,-0.329197,0.0430998,0.00552032,-5.24586e-05,-3.14151,-3.5827e-05,
2595.84,-0.329217,0.0431132,0.00552496,-6.59688e-05,-3.14149,-8.19734e-05,
2595.85,-0.329177,0.0430893,0.0055081,-7.01704e-05,-3.14155,-2.82412e-05,
2595.86,-0.329223,0.0431166,0.00551023,-1.18158e-05,-3.14148,-5.44242e-05,
2595.86,-0.329194,0.0430949,0.00550464,3.14024e-05,-3.14155,2.35433e-05,
2595.87,-0.329183,0.043088,0.00551505,3.15731e-05,-3.14153,-1.68555e-05,
2595.87,-0.329192,0.043084,0.00551067,0.000126559,-3.14155,-1.88498e-05,
2595.88,-0.329182,0.0431075,0.00550042,0.000175412,3.14157,7.36267e-06,
2595.88,-0.329191,0.0431046,0.00550661,-0.000136859,-3.14151,2.48048e-05,
2595.89,-0.329191,0.0431054,0.00550694,-8.71219e-06,-3.14153,-4.51519e-05,
2595.9,-0.329185,0.0430969,0.00548698,5.24703e-06,3.14159,-9.43062e-05,
2595.9,-0.329174,0.0430897,0.00550403,-5.60654e-05,3.14158,-1.92189e-05,
2595.91,-0.329191,0.0431081,0.00552193,-8.56643e-05,-3.14153,1.79342e-05,
2595.91,-0.329196,0.0430927,0.00550815,-1.99658e-05,-3.14152,-3.7816e-05,
2595.92,-0.329185,0.0430882,0.00550998,1.78899e-05,-3.14156,1.2908e-05,
2595.92,-0.329196,0.043103,0.00550614,-8.47311e-05,-3.14155,1.61458e-05,
2595.93,-0.329201,0.0431189,0.0055115,-5.96684e-05,-3.14151,-6.8756e-05,
2595.93,-0.329187,0.0431083,0.00551069,-0.000162213,-3.14153,-6.94892e-05,
2595.94,-0.32917,0.0430824,0.00548862,1.4484e-05,3.14154,-0.000105568,
2595.94,-0.329201,0.0431163,0.00552426,-0.000128631,-3.14148,-7.77822e-05,
2595.95,-0.329179,0.0430963,0.00549957,8.92327e-05,3.14157,-1.31844e-06,
2596,-0.3292,0.0430985,0.0055044,-2.09872e-05,-3.14156,-2.82378e-05,
2596,-0.3292,0.0431058,0.00551097,3.16265e-06,-3.1415,-1.74617e-05,
2596.01,-0.329171,0.043089,0.00549775,-8.45743e-05,-3.14159,5.65117e-05,
2596.01,-0.329195,0.0431043,0.00551274,-5.12852e-05,-3.1415,-7.58285e-05,
2596.02,-0.329182,0.0431182,0.00551993,-9.04397e-05,-3.14154,-0.00010636,
2596.02,-0.329172,0.0431054,0.00550936,-2.73109e-05,-3.14157,-0.000104822,
2596.03,-0.329158,0.0430917,0.00548892,2.61912e-05,3.14152,-2.93154e-05,
2596.04,-0.329176,0.0430867,0.0054921,-2.99382e-05,3.14158,-7.20228e-05,
2596.06,-0.329204,0.0431086,0.0055008,6.14393e-06,-3.14155,-3.42152e-05,
2596.06,-0.329207,0.043114,0.00551067,-5.25315e-05,-3.14157,-9.48505e-05,
2596.07,-0.329181,0.0430959,0.0055072,-5.32554e-05,-3.14156,3.16166e-05,
2596.07,-0.329203,0.0431018,0.00552559,-3.30648e-05,-3.14149,-3.3422e-05,
2596.08,-0.329209,0.0431148,0.0055111,-4.6369e-05,-3.14152,-5.54662e-05,
2596.08,-0.3292,0.0431025,0.00551376,-8.49924e-05,-3.14155,3.87637e-05,
2596.09,-0.329204,0.0431028,0.00550769,6.96071e-05,-3.14155,-3.0965e-05,
2596.09,-0.329182,0.043092,0.00549238,-7.12111e-05,3.14158,-2.28025e-05,
2596.1,-0.329159,0.0430836,0.00549547,2.78924e-05,3.14153,-6.31099e-05,
2596.1,-0.329177,0.043092,0.00550226,-8.44743e-05,-3.14156,3.19379e-05,
2596.11,-0.329208,0.0431072,0.00551125,5.93174e-05,-3.14152,-7.16615e-05,
