231.955,0,0,0,0,0,0,
231.963,-0.637975,0.117372,0.0456,5.41868e-05,3.14155,-3.63987e-05,
231.971,-0.637991,0.117344,0.0455879,-4.28321e-05,3.14151,-3.0994e-05,
231.974,-0.63798,0.117398,0.0456072,9.85928e-05,3.14155,-1.41622e-05,
231.981,-0.637984,0.117411,0.0456009,9.22547e-05,3.14157,2.17998e-05,
231.984,-0.638004,0.117378,0.0456373,-8.71858e-06,-3.14153,6.95213e-05,
231.991,-0.637981,0.117379,0.0456062,-9.76093e-06,3.14152,3.75851e-06,
231.999,-0.63797,0.117384,0.0455982,-2.8451e-05,3.14149,-3.05497e-05,
232.002,-0.638003,0.117399,0.045594,4.17997e-05,3.14156,-2.64533e-05,
232.009,-0.63798,0.117375,0.0456031,-4.52584e-05,3.14157,-9.51946e-05,
232.015,-0.63801,0.117355,0.0456447,1.14043e-05,-3.14155,2.08015e-05,
232.018,-0.637972,0.117383,0.0456229,6.52353e-05,3.14156,-0.000101519,
232.025,-0.63799,0.117387,0.0456244,-1.1885e-05,3.14155,4.74941e-06,
232.033,-0.638014,0.11739,0.0456517,-7.97472e-05,-3.14153,-6.35849e-05,
232.036,-0.637979,0.117383,0.0456209,3.93881e-05,3.14156,3.20312e-05,
232.042,-0.63798,0.117358,0.0455912,-3.09213e-06,3.14153,-0.000125132,
232.045,-0.637966,0.117376,0.0455974,6.62614e-05,3.14152,-2.06991e-05,
232.053,-0.637994,0.117412,0.0456568,-1.35306e-05,-3.14158,-5.55874e-05,
232.06,-0.637987,0.117374,0.0456121,1.32201e-05,-3.14158,6.14589e-05,
232.063,-0.638,0.117363,0.0456217,3.47126e-05,3.14158,8.47537e-05,
232.07,-0.63798,0.117403,0.0456271,2.30398e-06,3.14157,-7.12553e-05,
232.078,-0.637985,0.117377,0.0456075,6.90702e-05,3.14152,-4.51758e-05,
232.081,-0.638008,0.117404,0.0456277,-2.08182e-05,-3.14157,1.18354e-05,
232.087,-0.637971,0.117391,0.0456087,-1.95801e-06,3.14156,-2.36047e-05,
232.09,-0.637971,0.117409,0.0455811,0.000177309,3.14151,-8.21607e-05,
232.098,-0.638015,0.117394,0.0456728,-6.56573e-05,-3.14148,-1.84338e-05,
232.103,-0.637985,0.117366,0.0456147,9.73431e-06,3.14154,-2.84552e-05,
232.106,-0.637966,0.117352,0.045568,-2.16773e-05,3.14145,-0.000111903,
232.113,-0.638003,0.117388,0.0456433,2.21915e-05,-3.14154,-3.87658e-05,
232.121,-0.637995,0.117375,0.0456125,2.03347e-05,3.14156,-6.57213e-05,
232.124,-0.637994,0.117372,0.0456201,-8.73947e-05,3.14159,3.49467e-05,
232.13,-0.637993,0.117387,0.0455936,4.58485e-05,3.14159,-5.39453e-05,
232.133,-0.63801,0.117379,0.0456468,5.06801e-05,-3.14152,-1.18281e-05,
232.141,-0.638001,0.117405,0.0456247,-5.28873e-05,-3.14156,4.93917e-05,
232.149,-0.637992,0.117381,0.0456067,2.03058e-05,3.14158,5.7261e-05,
232.152,-0.637983,0.117425,0.0456176,-0.000167418,-3.14159,4.62794e-05,
232.159,-0.637986,0.117385,0.0456218,3.49466e-05,3.14157,1.70059e-05,
232.167,-0.637978,0.117361,0.0456137,-8.25512e-05,3.14153,1.84758e-05,
232.17,-0.637997,0.117382,0.045631,-4.26214e-05,3.14158,-1.14825e-05,
232.176,-0.63799,0.117402,0.0456287,-8.8785e-05,-3.14157,2.43974e-05,
232.179,-0.637965,0.117367,0.0455684,-7.14817e-05,3.14146,-2.34507e-05,
232.187,-0.638016,0.117415,0.0456338,-9.28386e-05,-3.14153,-0.000135447,
232.194,-0.638,0.117381,0.0456182,-7.5721e-05,3.14157,-1.57539e-06,
232.197,-0.637988,0.117402,0.0456253,6.52098e-05,3.14156,-6.87967e-06,
232.204,-0.637996,0.117363,0.0456145,4.24291e-05,3.14159,-4.62052e-05,
