time,FX,FY,FZ,RX,RY,RZ,
3279.45,-5.73351,3.7704,0.534342,-0.35459,0.186778,-0.421558,
3279.46,-5.73351,3.7704,0.534342,-0.35459,0.186778,-0.421558,
3279.46,-5.30923,3.49475,0.615038,-0.348037,0.202326,-0.418867,
3279.47,-5.68409,3.86147,0.539441,-0.354979,0.192708,-0.423936,
3279.47,-5.42893,3.58605,0.41392,-0.349537,0.202085,-0.420103,
3279.48,-5.42893,3.58605,0.41392,-0.349537,0.202085,-0.420103,
3279.48,-5.32777,3.34787,0.560239,-0.345599,0.200447,-0.41707,
3279.49,-5.60366,3.84587,0.465673,-0.355209,0.193576,-0.423192,
3279.5,-5.59146,3.59688,0.393518,-0.351585,0.189079,-0.415291,
3279.5,-5.65564,3.41999,0.494953,-0.346049,0.191721,-0.417062,
3279.51,-5.66739,3.36366,0.371782,-0.344168,0.190872,-0.415941,
3279.51,-4.97698,3.20214,0.365979,-0.34268,0.204082,-0.411578,
3279.52,-5.28935,3.00401,0.647799,-0.337941,0.199365,-0.408239,
3279.52,-5.04007,3.21781,0.4467,-0.341564,0.205719,-0.404746,
3279.53,-5.05844,3.13541,0.434628,-0.339784,0.20427,-0.411494,
3279.53,-5.4202,3.479,0.384812,-0.348136,0.198125,-0.412852,
3279.54,-5.4215,3.67287,0.350945,-0.351852,0.19824,-0.421146,
3279.55,-5.4215,3.67287,0.350945,-0.351852,0.19824,-0.421146,
3279.55,-5.28175,3.20598,0.455369,-0.341305,0.201732,-0.407332,
3279.56,-5.01775,2.9201,0.468473,-0.334323,0.206981,-0.411712,
3279.56,-5.37979,3.86036,0.436073,-0.359375,0.198431,-0.427172,
3279.57,-5.64102,3.27994,0.432411,-0.341498,0.189708,-0.411805,
3279.57,-5.4353,3.71655,0.353843,-0.354363,0.193645,-0.417236,
3279.58,-5.32747,3.40322,0.415399,-0.347306,0.197417,-0.415081,
3279.58,-5.40004,3.82908,0.406999,-0.35488,0.196641,-0.425021,
3279.59,-5.53666,3.75128,0.388038,-0.355745,0.194842,-0.424288,
3279.6,-5.72112,3.67428,0.352864,-0.354734,0.193481,-0.417077,
3279.6,-5.50294,3.48334,0.45927,-0.349153,0.194685,-0.418032,
3279.61,-5.50294,3.48334,0.45927,-0.349153,0.194685,-0.418032,
3279.61,-5.17242,3.28768,0.453532,-0.344268,0.199793,-0.408388,
3279.62,-5.21257,3.19919,0.49518,-0.342838,0.201147,-0.40997,
3279.62,-5.56256,3.51057,0.318939,-0.350362,0.192474,-0.420248,
3279.63,-5.48173,3.59482,0.450096,-0.349172,0.194681,-0.417487,
3279.64,-4.92468,3.24448,0.620928,-0.345607,0.2057,-0.409745,
3279.64,-5.42377,3.39913,0.685915,-0.345918,0.197866,-0.412001,
3279.65,-5.20004,3.82307,0.404196,-0.359323,0.202755,-0.42663,
3279.66,-5.61232,3.63766,0.451135,-0.352356,0.190384,-0.420436,
3279.66,-5.57881,3.51944,0.47919,-0.347547,0.190664,-0.420536,
3279.66,-5.5292,3.5262,0.47525,-0.349576,0.194669,-0.416649,
3279.67,-5.05485,3.15311,0.530822,-0.338353,0.204562,-0.411583,
3279.67,-5.41255,3.54658,0.468781,-0.35056,0.195772,-0.418491,
3279.68,-5.41255,3.54658,0.468781,-0.35056,0.195772,-0.418491,
3279.69,-5.46886,3.63258,0.465158,-0.349741,0.19633,-0.417649,
3279.69,-5.53169,3.46376,0.360064,-0.345441,0.192946,-0.424596,
3279.7,-5.20195,4.00662,0.319282,-0.36021,0.197822,-0.429487,
3279.7,-4.89065,3.58667,0.300673,-0.350052,0.209921,-0.417593,
3279.71,-5.39045,3.5139,0.33067,-0.349268,0.197171,-0.414604,
3279.71,-5.34757,3.47552,0.3991,-0.347698,0.200343,-0.414511,
3279.72,-4.79592,3.25388,0.347389,-0.341939,0.211073,-0.407241,
3279.73,-5.20539,3.74218,0.356793,-0.35486,0.200014,-0.420929,
3279.73,-5.55942,3.68156,0.42243,-0.355732,0.194748,-0.423465,
3279.74,-5.45949,3.61892,0.370528,-0.350493,0.19699,-0.417406,
3279.75,-5.61563,3.63857,0.392238,-0.352358,0.192338,-0.420128,
3279.75,-5.22512,3.30301,0.427676,-0.346115,0.19967,-0.410642,
3279.76,-5.63673,3.62419,0.38577,-0.35263,0.190614,-0.417877,
3279.76,-5.63673,3.62419,0.38577,-0.35263,0.190614,-0.417877,
3279.77,-5.57955,3.59883,0.368729,-0.352297,0.193114,-0.418985,
3279.77,-5.57955,3.59883,0.368729,-0.352297,0.193114,-0.418985,
3279.78,-5.15079,3.10693,0.335179,-0.33932,0.204544,-0.40821,
3279.79,-5.35431,3.55587,0.4311,-0.349546,0.196454,-0.417746,
3279.79,-5.61133,3.56948,0.389921,-0.349183,0.193309,-0.417471,
3279.79,-5.61133,3.56948,0.389921,-0.349183,0.193309,-0.417471,
3279.8,-5.16764,3.29814,0.42183,-0.346237,0.204059,-0.411101,
3279.85,-5.31066,3.24441,0.418637,-0.343434,0.200416,-0.410407,
3279.85,-5.98799,3.44415,0.415588,-0.345901,0.182994,-0.423644,
3279.86,-5.68611,3.50405,0.465847,-0.35043,0.189983,-0.418459,
3279.87,-5.68611,3.50405,0.465847,-0.35043,0.189983,-0.418459,
3279.87,-5.29238,3.43084,0.453083,-0.347656,0.198735,-0.408026,
3279.88,-5.42236,3.56706,0.43242,-0.353386,0.19545,-0.412402,
3279.88,-5.16583,3.84684,0.541281,-0.358143,0.203915,-0.425326,
3279.89,-5.16583,3.84684,0.541281,-0.358143,0.203915,-0.425326,
3279.97,-5.49684,3.5029,0.405121,-0.348674,0.194237,-0.419707,
3279.97,-5.34484,3.68651,0.355611,-0.352928,0.195561,-0.417817,
3279.98,-4.81435,3.08099,0.479514,-0.338392,0.20869,-0.406905,
3279.99,-5.2936,3.66871,0.341381,-0.352967,0.196515,-0.421216,
3279.99,-5.2936,3.66871,0.341381,-0.352967,0.196515,-0.421216,
3280,-5.33517,3.38465,0.454479,-0.346222,0.198503,-0.417527,
3280,-5.33517,3.38465,0.454479,-0.346222,0.198503,-0.417527,
3280.01,-5.16787,3.3212,0.478228,-0.343108,0.204567,-0.411326,
3280.01,-5.53906,3.67022,0.386198,-0.352885,0.195313,-0.424693,
3280.02,-5.36069,3.80098,0.343569,-0.354401,0.196449,-0.415686,
3280.02,-5.64919,3.6396,0.433267,-0.352811,0.190582,-0.418021,
3280.03,-5.64919,3.6396,0.433267,-0.352811,0.190582,-0.418021,
3280.03,-5.07841,3.39161,0.362783,-0.34651,0.203945,-0.417862,
3280.04,-5.07841,3.39161,0.362783,-0.34651,0.203945,-0.417862,
3280.05,-5.21293,3.92786,0.391144,-0.360073,0.20136,-0.424652,
3280.05,-5.45958,3.63937,0.294452,-0.353274,0.197405,-0.4185,
3280.06,-5.39183,3.62363,0.343474,-0.351117,0.197258,-0.414734,
3280.06,-5.39183,3.62363,0.343474,-0.351117,0.197258,-0.414734,
3280.07,-5.30181,4.01372,0.237651,-0.362258,0.199302,-0.42237,
3280.08,-5.52723,3.64425,0.286663,-0.349323,0.194873,-0.41709,
3280.08,-5.46539,3.5339,0.305354,-0.350589,0.197196,-0.420772,
3280.09,-5.08664,3.2448,0.342524,-0.342619,0.204912,-0.409473,
3280.09,-5.16582,3.28125,0.471741,-0.344048,0.202758,-0.408593,
3280.1,-5.40917,3.75403,0.34392,-0.35612,0.198642,-0.42366,
3280.1,-5.55805,3.70764,0.37445,-0.352399,0.192215,-0.422245,
3280.11,-5.48299,3.71315,0.304086,-0.351221,0.192531,-0.429083,
3280.11,-5.48299,3.71315,0.304086,-0.351221,0.192531,-0.429083,
3280.12,-5.54348,3.60256,0.216248,-0.350059,0.195146,-0.413693,
3280.12,-5.55263,3.56628,0.422617,-0.350786,0.193523,-0.418716,
3280.13,-5.46003,3.39483,0.350694,-0.346065,0.196234,-0.415314,
3280.13,-5.19358,2.96493,0.48591,-0.336874,0.201871,-0.409015,
3280.14,-5.04067,3.143,0.489933,-0.340763,0.204474,-0.407418,
3280.15,-5.4985,3.51914,0.296693,-0.349522,0.194935,-0.425226,
3280.15,-5.21439,3.04981,0.434428,-0.338706,0.201879,-0.408605,
3280.16,-5.38277,4.01347,0.150622,-0.36058,0.196659,-0.428967,
3280.16,-5.5593,3.73991,0.247581,-0.355375,0.192297,-0.419724,
3280.17,-5.48131,3.67655,0.309066,-0.352775,0.195931,-0.416786,
3280.18,-5.52267,3.68147,0.392661,-0.352692,0.19444,-0.419579,
3280.18,-5.07497,3.06935,0.387878,-0.340679,0.204465,-0.407497,
3280.19,-5.5579,3.96621,0.319918,-0.358554,0.191722,-0.426942,
3280.2,-5.3146,3.9765,0.321129,-0.359215,0.198083,-0.427841,
3280.2,-5.73954,3.62919,0.357378,-0.352405,0.188124,-0.420849,
3280.21,-5.45351,3.59968,0.347796,-0.354248,0.193094,-0.423085,
3280.21,-4.82408,3.15661,0.3553,-0.342979,0.21184,-0.408656,
3280.22,-4.94728,3.15254,0.378788,-0.341491,0.207957,-0.410513,
3280.22,-5.26469,3.57884,0.282037,-0.350307,0.198048,-0.422156,
3280.23,-5.64119,3.59909,0.256521,-0.350514,0.190366,-0.418593,
3280.24,-5.87171,3.57114,0.2394,-0.352933,0.186141,-0.41652,
3280.24,-4.90774,3.17348,0.152172,-0.341096,0.208523,-0.405681,
3280.24,-4.93063,3.14933,0.424624,-0.340376,0.209381,-0.406354,
3280.25,-5.48026,3.55368,0.390026,-0.350338,0.19579,-0.416305,
3280.26,-5.4283,3.75935,0.414493,-0.356837,0.196362,-0.425784,
3280.26,-5.49761,3.52216,0.473278,-0.350447,0.194977,-0.421283,
3280.27,-5.59226,3.56148,0.397137,-0.351135,0.193499,-0.418507,
