time,FX,FY,FZ,RX,RY,RZ,
8.37239,-3.98184,0.531672,-1.37225,-0.315598,0.269498,-0.198939,
8.41948,-4.04142,0.387445,-1.33917,-0.310732,0.264075,-0.195676,
8.4235,-3.87399,0.49442,-1.27632,-0.313678,0.266945,-0.197501,
8.42653,-4.09307,0.355482,-1.20165,-0.309539,0.263485,-0.199585,
8.43442,-4.02229,0.547095,-1.38552,-0.318117,0.265124,-0.194116,
8.4415,-4.04374,0.44195,-1.32787,-0.315176,0.263138,-0.194733,
8.44454,-3.87471,0.384301,-1.26564,-0.311622,0.269248,-0.200778,
8.45113,-3.93439,0.498269,-1.30943,-0.313466,0.268404,-0.196821,
8.4584,-3.76297,0.56401,-1.24177,-0.318565,0.270087,-0.196859,
8.46147,-4.06605,0.536741,-1.38336,-0.317019,0.263054,-0.197486,
8.46863,-3.97738,0.314792,-1.35233,-0.309718,0.268157,-0.194925,
8.47174,-4.03407,0.55274,-1.27918,-0.316378,0.265587,-0.197088,
8.47987,-4.06359,0.446813,-1.23912,-0.31392,0.263391,-0.198197,
8.48702,-4.1222,0.515086,-1.37392,-0.31595,0.260606,-0.192537,
8.49009,-4.09636,0.583347,-1.20678,-0.316208,0.265782,-0.193435,
8.49755,-3.97749,0.365059,-1.25898,-0.312358,0.267761,-0.198529,
8.50562,-4.03875,0.25272,-1.37971,-0.311652,0.263133,-0.198635,
8.55247,-3.81051,0.316298,-1.35134,-0.307424,0.268364,-0.194811,
8.55649,-3.93472,0.366173,-1.28475,-0.313033,0.268599,-0.200071,
8.55952,-3.8773,0.399347,-1.24115,-0.314406,0.270429,-0.19574,
8.56742,-3.95094,0.377396,-1.28588,-0.311286,0.267093,-0.195853,
8.5745,-3.93408,0.438574,-1.16195,-0.314125,0.266075,-0.199042,
8.57753,-3.79578,0.645712,-1.29602,-0.319518,0.272288,-0.195322,
8.58568,-4.08454,0.646718,-1.2727,-0.319766,0.262705,-0.200593,
8.58879,-3.7776,0.574869,-1.27292,-0.317086,0.26771,-0.194583,
8.68454,-3.90123,0.652021,-1.2827,-0.321252,0.270425,-0.19524,
8.68757,-4.16618,0.439011,-1.37334,-0.31635,0.262129,-0.198046,
8.69153,-3.78284,0.522497,-1.20969,-0.318457,0.269632,-0.199924,
8.69849,-4.03086,0.362862,-1.3263,-0.312306,0.266325,-0.197473,
