time,x,y,z,r,p,y,
7.88357,-0.329197,0.0429985,0.00500573,5.03435e-05,-3.14155,-0.00010211,
7.88985,-0.329172,0.0430088,0.00498242,6.09525e-05,3.14154,0.000126418,
7.89791,-0.329217,0.0430216,0.00501311,-2.16475e-05,-3.14153,-0.000179147,
7.90094,-0.329204,0.0430091,0.0050071,-2.15841e-05,-3.14153,-9.47995e-05,
7.90845,-0.329192,0.0430165,0.00500061,-6.78261e-05,-3.14156,-0.000127886,
7.91575,-0.329194,0.0430027,0.00500498,-2.17258e-05,-3.14157,-7.25715e-05,
7.91886,-0.329228,0.0430139,0.00500832,-1.41396e-05,-3.1415,-0.000124226,
7.92693,-0.329208,0.0430114,0.00499952,-8.01938e-05,-3.14156,-6.04677e-05,
7.93,-0.329215,0.0430228,0.00500272,-2.13956e-05,-3.14155,-0.000197543,
7.93611,-0.329224,0.0430567,0.00501074,-0.000242512,-3.14152,-0.000211186,
7.94421,-0.329198,0.0430114,0.00499769,-3.77532e-06,3.14159,0.000110472,
7.94733,-0.329213,0.043023,0.00501321,4.36405e-05,-3.14153,-0.000197829,
7.95545,-0.329234,0.0430175,0.00501626,-5.47487e-05,-3.1415,-0.00014883,
7.9625,-0.329222,0.0430268,0.00502136,-9.69039e-06,-3.14151,-0.00020611,
7.96554,-0.329199,0.0430268,0.00500457,5.92745e-05,3.14159,0.000124067,
7.97343,-0.329214,0.0430056,0.00499822,-4.00667e-05,-3.14151,-9.62014e-05,
7.97648,-0.329192,0.0430114,0.00499812,-3.75912e-06,3.14157,0.000114888,
7.98266,-0.329235,0.0430416,0.00502417,-5.14354e-05,-3.14142,-0.000160739,
7.99078,-0.329219,0.0430265,0.00501124,-7.47745e-06,-3.14152,-0.00013592,
7.9939,-0.329183,0.0429946,0.00498559,-4.36986e-05,3.14156,7.2579e-05,
8.00191,-0.32918,0.0429959,0.00500278,3.37922e-05,3.14158,5.13329e-05,
8.00494,-0.329236,0.0430369,0.00501329,-2.84521e-05,-3.1415,-0.000174566,
8.012,-0.3292,0.0430173,0.00500923,-4.72931e-05,-3.14157,-0.000111756,
8.01992,-0.3292,0.0430179,0.00501325,-6.83129e-05,-3.14156,-0.000100066,
8.02299,-0.329196,0.0430042,0.00502305,3.6447e-06,-3.14153,-0.000125283,
8.0291,-0.329207,0.0430269,0.00499821,-4.42391e-05,3.14159,0.000151652,
8.03221,-0.329187,0.0430131,0.00499897,-4.41489e-05,3.14155,0.000133236,
8.04043,-0.329222,0.0430236,0.00502409,-7.31221e-05,-3.14145,-0.000181062,
8.04554,-0.329219,0.0430228,0.00500328,-4.03639e-05,-3.14153,-0.000115009,
8.04857,-0.329208,0.0430178,0.00500545,-7.47871e-06,-3.14155,-9.6855e-05,
8.05645,-0.329216,0.0430055,0.00499963,5.08735e-05,-3.14155,-5.7897e-05,
8.06352,-0.329233,0.0430183,0.00500721,3.21709e-05,-3.14149,-8.00856e-05,
8.11204,-0.329227,0.0430236,0.00502024,-4.26921e-05,-3.14149,-0.000163314,
8.116,-0.329219,0.0430089,0.00500175,-5.48225e-07,-3.14154,-0.000156526,
8.11904,-0.329201,0.0430246,0.0049989,-9.89819e-05,-3.14157,-3.91908e-05,
8.12692,-0.329207,0.0430176,0.00500759,3.88694e-06,-3.14155,-0.000151531,
8.12994,-0.329222,0.0430299,0.00501782,1.1226e-05,-3.14153,-0.000199619,
8.13406,-0.329232,0.0430181,0.00502172,6.07544e-05,-3.14148,-0.000197679,
8.13923,-0.329221,0.0430076,0.00499149,-3.59478e-05,-3.14155,-3.97567e-05,
8.14235,-0.329237,0.0430194,0.00502603,3.70618e-06,-3.14145,-0.000149154,
8.15046,-0.329228,0.0430277,0.0050108,-3.59952e-05,-3.14152,-0.000139962,
8.15659,-0.329213,0.0430025,0.00500695,-8.15407e-05,-3.14151,-7.84595e-05,
8.15971,-0.329221,0.0430109,0.00501071,4.44518e-05,-3.1415,-0.000167918,
8.16783,-0.329192,0.0430165,0.00499914,-8.80013e-06,3.14155,9.93778e-05,
8.17091,-0.329203,0.0430083,0.00501243,-2.84373e-05,-3.14153,-9.55118e-05,
8.17817,-0.329189,0.042981,0.0049908,-0.000134866,3.14157,4.39555e-05,
8.18579,-0.329224,0.0430137,0.00500204,-2.16456e-05,-3.14153,-0.000122059,
8.18907,-0.329213,0.0430183,0.00499552,-2.97551e-05,3.14159,7.58938e-05,
8.19357,-0.329196,0.0430105,0.00499433,-1.62707e-05,-3.14158,-9.53262e-05,
8.19804,-0.329209,0.0430067,0.00500481,8.37965e-05,-3.14154,-3.84831e-05,
8.20105,-0.329216,0.043033,0.00500504,-0.000117574,-3.14153,-0.000106131,
8.20893,-0.329224,0.0430344,0.00501888,5.11301e-05,-3.14149,-0.000201881,
8.21599,-0.329212,0.0430158,0.00499825,-6.55037e-05,-3.14153,-0.000140145,
8.21902,-0.329218,0.0430231,0.00500689,-1.47106e-05,-3.14152,-0.000177778,
8.22708,-0.329207,0.0429952,0.00500968,-5.52918e-05,-3.14152,-0.000107161,
8.2334,-0.32923,0.0430256,0.00501271,1.58981e-05,-3.14149,-0.000179741,
