time,CH1,CH2,CH3,CH4,CH5,CH6,
7.88357,2302.89,2148.33,1833.14,1995.52,2033.82,2162.05,
7.88985,2302.31,2112.67,1835.17,1996.75,2035.67,2162.72,
7.89791,2303.27,2113.26,1835.25,1996.96,2035.3,2162.5,
7.90094,2303.16,2112.96,1839.51,1992.51,2034.57,2155.41,
7.90845,2309.6,2145.76,1833.78,1953.57,2068.47,2159.1,
7.91575,2300.14,2111.29,1834.21,1996.02,2034.53,2162.43,
7.91886,2302.63,2112.62,1835.5,1997.22,2035.44,2162.67,
7.92693,2303.52,2113.26,1835.33,1996.82,2035,2162.55,
7.93,2303.31,2113.51,1835.66,1996.96,2035.2,2162.56,
7.93611,2303.21,2113.21,1835.36,1997.06,2035.13,2162.91,
7.94421,2303.08,2112.95,1835.23,1997.04,2035.19,2162.74,
7.94733,2303.45,2113.32,1835.53,1997.08,2035.29,2162.79,
7.95545,2303.01,2113.18,1835.47,1996.84,2035,2163.03,
7.9625,2303.28,2113.08,1835.36,1996.74,2035.19,2162.77,
7.96554,2303.18,2112.9,1835.47,1997.32,2035.45,2162.74,
7.97343,2302.89,2112.95,1835.27,1996.97,2035.18,2162.73,
7.97648,2302.89,2113.25,1835.6,1996.96,2035.07,2162.48,
7.98266,2303.33,2112.86,1835.29,1996.77,2035.2,2162.86,
7.99078,2303.21,2113.13,1835.2,1996.94,2034.95,2162.86,
7.9939,2302.9,2115.82,1835.34,1997.19,2035.17,2162.74,
8.00191,2303.11,2113.07,1835.2,1997.04,2035.19,2162.65,
8.00494,2303.43,2113.27,1835.11,1997.08,2035.15,2162.9,
8.012,2303.33,2113.04,1835.2,1996.79,2035.32,2162.97,
8.01992,2303.17,2113.05,1835.37,1996.92,2035.1,2162.96,
8.02299,2302.92,2113.02,1835.26,1996.69,2035.09,2162.66,
8.0291,2303.02,2112.97,1835.41,1996.9,2035.14,2162.71,
8.03221,2303.28,2113.06,1835.4,1997.05,2037.44,2160.25,
8.04043,2302.93,2111.46,1827.57,1997.04,2035.26,2162.8,
8.04554,2303.12,2112.95,1835.36,1996.5,2035.12,2162.83,
8.04857,2303.28,2113.46,1835.58,1997.05,2035.24,2162.74,
8.05645,2303.33,2112.94,1835.09,1996.47,2035.13,2163.05,
8.06352,2303.26,2113.12,1835.22,1996.99,2035.05,2162.77,
8.11204,2303.01,2112.93,1835.22,1996.96,2035.12,2162.84,
8.116,2303.06,2112.94,1835.09,1996.79,2035.19,2162.86,
8.11904,2303.24,2113.06,1835.28,1996.99,2035.32,2162.95,
8.12692,2303.24,2113.12,1835.02,1996.97,2035.18,2165.82,
8.12994,2302.27,2146.31,1838.84,2029.3,2034.95,2162.63,
8.13406,2303.54,2113.1,1835.31,1997.02,2035.43,2163.03,
8.13923,2303.41,2112.96,1835.31,1996.68,2035.19,2162.77,
8.14235,2303.05,2113.38,1835.52,1997.05,2035.28,2162.7,
8.15046,2303.15,2113.06,1835.09,1996.65,2035.28,2162.95,
8.15659,2303.25,2113.43,1835.45,1996.87,2035,2162.76,
8.15971,2303.16,2113.12,1835.23,1996.98,2035.27,2162.86,
8.16783,2303.29,2113.08,1835.27,1997.03,2035.14,2162.92,
8.17091,2303.15,2120.21,1831.43,1988.81,2039.08,2156.33,
8.17817,2310.65,2112.38,1829.76,1996.03,2034.15,2155.31,
8.18579,2309.47,2118.54,1827.18,1996.82,2034.26,2156.25,
8.18907,2308.67,2112.44,1831.38,1986.67,2067.39,2164.91,
8.19357,2296.05,2119.85,1831.32,1997.22,2035.37,2162.86,
8.19804,2303.22,2113.47,1835.18,1996.96,2035.15,2162.61,
8.20105,2303.42,2113.23,1835.54,1996.99,2035.1,2162.91,
8.20893,2303.23,2113.16,1835.31,1996.95,2035.23,2162.84,
8.21599,2303.38,2112.93,1835.31,1997.07,2035.13,2162.66,
8.21902,2302.91,2108.1,1831,2029.09,1993.35,2168.93,
8.22708,2303.3,2111.72,1826.3,2001.04,2035.26,2162.83,
8.2334,2303.58,2113.54,1835.78,1996.83,2035.26,2162.87,
8.23646,2303.04,2112.89,1835.32,1996.96,2035.41,2162.91,
8.24359,2303.41,2113.11,1835.36,1996.97,2035.12,2162.7,
8.24669,2303.18,2113.16,1835.04,1997.14,2035.14,2162.92,
8.25479,2303.45,2113.09,1835.03,1997.01,2035.5,2162.82,
8.262,2303.11,2113.04,1835.29,1996.85,2035.05,2155.8,
8.26506,2309.62,2071.78,1832.38,1994.38,2033.33,2161.3,
8.27244,2302.31,2112.32,1834.87,1996.61,2035.04,2162.94,
8.2804,2303.19,2113.27,1835.25,1996.62,2035.3,2163.05,
8.28347,2303.06,2113.03,1835.25,1996.92,2035.43,2162.84,
8.28958,2303.42,2112.99,1835.3,1996.61,2035.08,2162.59,
8.29269,2303.13,2113.28,1835.28,1996.64,2035.21,2162.49,
8.30082,2302.92,2112.92,1835.31,1996.89,2035.36,2162.83,
8.30801,2303.16,2113.06,1835.23,1987.82,2037.94,2162.97,
8.31109,2303.16,2112.89,1835.37,1997.04,2035.35,2162.73,
8.31833,2303.15,2113.15,1835.42,1996.88,2035.11,2163,
8.32642,2303.46,2113.07,1835.41,1997.02,2035.16,2162.8,
8.32949,2303,2112.89,1835.32,1997.03,2035.35,2163.27,
8.3356,2303.39,2113.01,1835.35,1997.03,2035.14,2162.68,
8.3387,2302.99,2113.28,1835.61,1996.88,2034.97,2162.49,
8.3468,2303.21,2113.17,1835.33,1996.79,2035.25,2163.04,
8.35399,2303.07,2106.42,1839.71,1996.83,2034.94,2162.74,
8.35707,2303.15,2112.98,1832.27,1994.41,2033.49,2161.47,
8.36427,2301.99,2112.4,1834.83,1996.51,2034.82,2163.14,
8.37239,2303.44,2113.15,1835.19,1996.87,2035.14,2162.54,
8.41948,2303.1,2112.97,1835.23,1996.76,2035.06,2162.68,
8.4235,2303.16,2112.77,1835.22,1996.68,2034.98,2162.69,
8.42653,2303.09,2113.41,1835.63,1997.06,2035.31,2163.01,
8.43442,2303.07,2113.05,1835.23,1996.67,2035.12,2162.87,
8.4415,2303.34,2113.22,1835.15,1996.86,2035.21,2162.91,
8.44454,2301.48,2071.86,1837.03,1997.48,2034.49,2161.88,
8.45113,2301.99,2113.31,1835.33,1996.8,2035.07,2162.8,
8.4584,2303.52,2113.04,1835.22,1996.78,2035.28,2162.92,
8.46147,2302.96,2112.97,1835.33,1996.96,2035.26,2162.69,
8.46863,2303.19,2113.17,1835.29,1996.92,2035.07,2162.62,
8.47174,2303.11,2113.39,1835.27,1996.81,2035.3,2162.74,
8.47987,2303.2,2112.95,1835.36,1996.89,2035.43,2162.92,
8.48702,2303.32,2113.15,1835.29,1996.89,2035.03,2160.62,
8.49009,2300.61,2115.1,1835.58,1996.86,2035.42,2162.93,
8.49755,2303.61,2113.14,1835.36,1997.05,2035.2,2158.72,
8.50562,2299.96,2111.21,1834.08,1996.06,2034.75,2162.3,
8.55247,2303.32,2112.73,1835.42,1996.79,2035.32,2162.65,
8.55649,2303.18,2113.16,1835.18,1996.75,2035.21,2162.69,
8.55952,2303.24,2113.21,1835.53,1997.17,2035.5,2162.93,
8.56742,2303.37,2112.92,1835.23,1996.73,2034.93,2163.01,
8.5745,2303.18,2113.16,1835.32,1996.6,2035.19,2162.73,
8.57753,2303.22,2113.34,1835.26,1993.68,2032.53,2160.89,
8.58568,2301.63,2112.22,1834.8,1996.49,2034.78,2162.52,
8.58879,2302.88,2113.18,1835.05,1997.17,2035.22,2162.5,
8.68454,2303.32,2113.3,1835.23,1996.97,2035.12,2162.71,
8.68757,2303.28,2113.06,1835.44,1996.84,2035.23,2162.48,
8.69153,2303.23,2112.92,1835.45,1996.7,2035.15,2163.09,
8.69849,2303.26,2113.12,1835.33,1996.63,2035.36,2162.41,
8.70151,2303.26,2113.17,1835.45,1996.79,2035.07,2162.9,
8.70941,2303,2113.07,1835.4,1996.73,2035.22,2163.01,
8.71244,2303.03,2113.24,1835.39,1996.82,2035.36,2162.99,
8.71955,2302.96,2113.09,1835.48,1997.06,2035.49,2162.9,
8.76464,2266.95,2146.76,1831.91,1992.9,1992.59,2168.74,
8.76792,2295.6,2145.46,1835.44,1997,2035.08,2162.86,
8.7753,2303.32,2113.11,1835.47,1996.8,2035.09,2162.98,
8.78342,2303.51,2113.32,1835.29,1997.15,2035.18,2162.69,
8.78644,2302.94,2113,1835.39,1997.03,2035.43,2162.84,
8.79352,2303.08,2113.49,1835.53,1996.81,2035.17,2162.69,
8.79655,2303.01,2113.16,1835.41,1996.8,2035.08,2162.89,
8.80441,2307.32,2106.25,1834.59,1992.61,2028.43,2165.76,
8.80877,2309.66,2111.33,1830.65,2027.63,1993.21,2165.28,
8.81206,2302.22,2071.73,1840.66,1991.71,2041.48,2162.05,
8.81655,2302.61,2105.68,1799.9,1987.84,2037.81,2161.6,
8.82117,2302.3,2073.15,1825.72,1959.59,2034.95,2161.9,
8.82447,2302.21,2116.43,1825.89,1996.33,2034.73,2162.29,
8.82897,2302.8,2112.93,1835.08,1996.68,2035.63,2163.03,
8.83602,2303.4,2113.32,1835.63,1996.74,2035.33,2162.9,
8.83905,2303.31,2113.24,1835.34,1996.97,2035.29,2162.89,
8.84694,2303.09,2113.21,1835.25,1996.97,2034.98,2158.16,
8.84998,2303.45,2113.22,1835.47,1996.91,2035.08,2162.66,
8.85632,2303.13,2113.01,1835.11,1996.85,2035.47,2162.87,
8.86441,2303.01,2113.29,1835.27,1996.79,2035.29,2162.75,
8.86744,2303.23,2113.31,1835.41,1997.05,2035.14,2162.75,
8.87451,2302.89,2113.04,1835.28,1996.9,2035.1,2162.92,
8.88242,2303.44,2113.45,1835.39,1996.83,2035.19,2162.75,
8.88544,2303.05,2113.18,1835.24,1996.78,2035.29,2162.75,
8.89256,2302.9,2113.07,1835.32,1996.72,2034.37,2157.99,
8.89577,2307.15,2114.87,1831.61,1987.17,2041.12,2156.41,
8.9002,2310.58,2117.47,1831.33,1998.7,2068.27,2169.96,
8.9068,2310.82,2113.37,1835.4,1996.72,2035.08,2162.66,
8.9099,2303.54,2113.15,1835.21,1997.02,2035.21,2162.64,
8.917,2302.76,2112.86,1835.02,1996.67,2035.43,2162.85,
8.92491,2303.06,2113.28,1835.41,1996.91,2035.17,2163.05,
8.92794,2302.92,2112.93,1835.45,1996.85,2035.1,2162.67,
8.93505,2303.11,2113,1835.24,1996.91,2035.15,2162.63,
8.93807,2296.24,2113.27,1831.56,1987.29,2040.05,2155.95,
8.94453,2270.04,2117.64,1835.41,1993.84,2032.59,2160.72,
8.95178,2301.9,2112.2,1834.88,1996.39,2034.96,2162.52,
8.95488,2303.53,2113.41,1835.23,1997.17,2035.1,2162.75,
8.96293,2303.11,2112.93,1835.14,1996.96,2035.29,2162.92,
8.97001,2303.33,2113.11,1835.34,1996.91,2035.08,2162.64,
8.97304,2303.17,2113.2,1835.41,1996.78,2035.12,2162.7,
8.98003,2303.02,2113.09,1835.09,1996.75,2035.13,2162.68,
8.98306,2298.26,2107.59,1825.63,1953.65,2034.42,2161.93,
8.99137,2302.57,2113.09,1835.26,1996.96,2035.2,2162.92,
8.9975,2303.39,2113.28,1835.56,1996.66,2035.17,2162.53,
9.00053,2302.87,2113.3,1835.41,1996.93,2035.12,2162.88,
9.00842,2303.18,2112.97,1835.41,1996.57,2034.91,2162.79,
9.01551,2303.12,2113.41,1835.37,1997.07,2035.19,2162.49,
9.01853,2303.2,2113.07,1835.35,1997.11,2035.42,2162.64,
9.02646,2303.19,2112.94,1835.25,1996.62,2035.1,2162.71,
9.02949,2302.94,2113.58,1835.42,1996.81,2035.3,2162.67,
9.03741,2302.9,2113,1835.14,1996.86,2035.23,2162.87,
9.0445,2303.54,2112.99,1835.62,1996.65,2035.35,2162.55,
9.04752,2303.15,2112.9,1835.33,1996.84,2035.34,2162.79,
9.05542,2303.31,2113.14,1835.24,1996.8,2035.16,2162.71,
9.05845,2303.18,2113.22,1835.45,1996.63,2035.12,2162.63,
9.06552,2303.01,2113.11,1835.32,1996.86,2034.97,2162.82,
9.07343,2303.29,2113.19,1874.81,1987.68,2038.03,2162.49,
9.0765,2303.02,2113.09,1835.07,1996.74,2035.63,2162.68,
9.08275,2303.05,2113.23,1835.2,1996.95,2035.1,2162.89,
9.08585,2303.3,2113.47,1835.64,1996.77,2035.45,2162.78,
9.09391,2303.23,2112.96,1835.31,1996.9,2035.15,2162.94,
9.101,2303.13,2112.95,1835.31,1997.07,2034.88,2162.75,
9.10403,2303.19,2112.91,1835.29,1997.05,2035.36,2162.72,
9.11192,2303.29,2112.96,1835.26,1996.81,2035.16,2162.73,
9.11498,2303.35,2113.18,1835.24,1992.88,2030.55,2164.88,
9.1213,2303.46,2113.03,1835.31,1996.91,2035.42,2162.49,
9.12848,2303.26,2113.32,1835.34,1996.81,2035.07,2162.58,
9.13151,2303.1,2113.3,1835.4,1997.05,2035.03,2162.7,
9.13943,2303.3,2113.13,1835.4,1996.88,2035.14,2162.9,
9.14649,2303.31,2113.11,1835.43,1996.79,2035.26,2162.76,
9.14951,2303.2,2113.08,1835.63,1997.14,2035.4,2162.85,
9.15741,2303.58,2113.11,1835.36,1996.9,2035.2,2162.66,
9.16048,2303.11,2118.71,1828.3,1999.04,2034.73,2159.08,
9.1678,2340.89,2107.04,1827.12,2000.45,1993.75,2170.19,
9.17599,2303.37,2113.23,1835.63,1997.05,2035.08,2162.7,
9.17902,2303.56,2113.21,1835.26,1996.96,2035.51,2162.79,
9.18323,2303.22,2113.16,1835.34,1996.77,2034.97,2163.07,
9.19044,2303.43,2112.89,1835.37,1996.74,2035.31,2162.62,
9.19347,2303.33,2112.87,1835.48,1997.16,2035.47,2163.02,
