time,x,y,z,r,p,y,
2081.77,-0.32918,0.0430877,0.0155003,6.22859e-05,-3.14158,1.76672e-06,
2081.77,-0.329196,0.0430992,0.0155046,-6.41409e-05,-3.14152,-2.78112e-05,
2081.78,-0.329172,0.0430865,0.015488,-5.42574e-05,-3.14158,2.54663e-05,
2081.79,-0.329195,0.043101,0.0154966,-6.65662e-05,-3.14158,-1.70403e-05,
2081.79,-0.329173,0.0430965,0.0154963,2.87807e-05,3.14154,-5.40646e-05,
2081.8,-0.329178,0.0431002,0.0155034,5.27685e-05,3.14156,-2.85466e-05,
2081.8,-0.329192,0.0430951,0.0154891,-9.87856e-05,-3.14158,5.09512e-05,
2081.81,-0.329189,0.0430999,0.0154958,-7.32657e-05,-3.14158,-1.34e-05,
2081.81,-0.329214,0.043106,0.0155056,9.66833e-05,-3.14153,-5.38649e-05,
2081.82,-0.329181,0.0431032,0.0154931,4.57944e-05,3.14154,1.03821e-05,
2081.82,-0.329167,0.0430952,0.0154964,0.000119489,3.14158,5.01414e-05,
2081.83,-0.329179,0.0431024,0.015495,-1.02401e-05,3.14153,-1.16938e-05,
2081.83,-0.329177,0.0431045,0.0155025,7.56657e-05,3.14157,3.94502e-05,
2081.84,-0.329181,0.0430938,0.0154884,-0.00012079,3.14154,6.99911e-05,
2081.85,-0.32917,0.0430767,0.0154918,2.93227e-06,3.14156,-3.00992e-05,
2081.85,-0.329185,0.0430944,0.0154932,1.80203e-05,-3.14158,5.90463e-05,
2081.86,-0.329178,0.0431108,0.0154896,-2.94761e-05,3.14154,8.87615e-05,
2081.87,-0.329176,0.0431085,0.0155044,-2.96569e-06,3.14158,2.03979e-05,
2081.87,-0.329167,0.0430905,0.0154889,-1.03335e-05,3.14152,-5.66355e-05,
2081.88,-0.329206,0.0431013,0.0154834,-6.65635e-05,-3.14157,6.26844e-05,
2081.88,-0.32917,0.0430901,0.0154815,-3.62101e-05,3.14154,-1.28175e-05,
2081.89,-0.32918,0.0431047,0.0155027,3.60921e-05,3.14155,5.23825e-05,
2081.9,-0.329179,0.0430859,0.0154917,-2.5072e-05,-3.14157,1.23035e-05,
2081.9,-0.329174,0.0430801,0.0155019,3.22076e-06,3.14158,-7.56725e-05,
2081.91,-0.329185,0.0430887,0.0154933,-2.68762e-05,-3.14157,6.42162e-05,
